Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
DEMS18  ,   .741315    ,   .103442    ,   7.16646    ,   .000000    ,   .538572    ,   .944058    
COSTTAX ,  -.121551E-02,   .388871E-03,  -3.12574    ,   .177357E-02,  -.197768E-02,  -.453337E-03
INCFARM1,   .875915    ,   .279876    ,   3.12966    ,   .175011E-02,   .327368    ,   1.42446    
INCFARM2,   .653400    ,   .280994    ,   2.32532    ,   .200549E-01,   .102662    ,   1.20414    
INCFARM4,   .479734    ,   .285163    ,   1.68231    ,   .925079E-01,  -.791755E-01,   1.03864    
INCFARM5,   .614204    ,   .293026    ,   2.09607    ,   .360759E-01,   .398829E-01,   1.18852    
INCFARM6,   2.06379    ,   .442603    ,   4.66285    ,   .311863E-05,   1.19630    ,   2.93127    
FARMSI2 ,   .793101    ,   .180327    ,   4.39812    ,   .109192E-04,   .439666    ,   1.14654    
FARMSI3 ,   .258299    ,   .198413    ,   1.30182    ,   .192977    ,  -.130584    ,   .647182    
FARMSI4 ,   .595674    ,   .140849    ,   4.22916    ,   .234565E-04,   .319614    ,   .871733    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .234565E-04,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .234565E-04,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .234565E-04,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .234565E-04,   .000000    ,   .000000    
COVE:LAK,   .835788E-01,   .231309E-01,   3.61329    ,   .302332E-03,   .382430E-01,   .128915    
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
QsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
sdWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
sdPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
sdCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
sdNM    ,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
COVE:WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :WET,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
NM  :COV,   .000000    ,   .000000    ,   .100000E+11,   .302332E-03,   .000000    ,   .000000    
                                                                                
