,original,weight,Subbasin
284,20249.3,0.6306987156163099,163
285,3708.47,0.36125988516742685,164
286,6556.91,0.6387401148325732,164
287,82.5005,0.005355731885377257,165
288,1519.25,0.09862601641031747,165
289,13802.4,0.8960182517043053,165
290,2384.97,0.15031699321894812,166
291,13481.3,0.8496830067810519,166
292,22173.7,1.0,167
293,14916.5,1.0,168
294,6155.95,0.21960007205908846,169
295,21876.6,0.7803999279409115,169
296,0.0792195,4.565001842146176e-06,170
297,875.183,0.05043217903691662,170
298,16478.4,0.9495632559612412,170
299,904.927,0.07287809973347015,171
300,921.068,0.07417801166868473,171
301,10591.0,0.8529438885978452,171
302,6692.95,0.3040971409748174,172
303,15316.3,0.6959028590251826,172
304,7.19861,0.0006240668285611524,173
305,11527.8,0.9993759331714389,173
306,8288.16,0.30477047784205485,174
307,18906.6,0.6952295221579451,174
308,0.12196400000000003,1.1381530942668549e-05,175
309,0.335372,3.1296503847894755e-05,175
310,10715.5,0.9999573219652095,175
311,5091.93,0.21828734674770103,176
312,18234.8,0.781712653252299,176
313,2938.11,0.19323073240123928,177
314,5401.27,0.35522541974154875,177
315,6865.81,0.45154384785721186,177
316,1336.36,0.049530293180374385,178
317,25644.3,0.9504697068196256,178
318,10165.7,1.0,179
319,26409.5,1.0,180
320,14762.8,1.0,181
321,32657.0,1.0,182
322,3.5461,0.00022378876814137518,183
323,15842.2,0.9997762112318587,183
324,14023.0,1.0,184
325,15026.1,1.0,185
326,0.219669,1.4378012789474244e-05,186
327,15277.9,0.9999856219872105,186
328,1932.1,0.10496533118053265,187
329,5484.73,0.2979693084652983,187
330,10990.2,0.5970653603541691,187
331,59.7178,0.0030370308973539416,188
332,19603.5,0.9969629691026461,188
333,3848.06,0.24327618623740807,189
334,11969.6,0.756723813762592,189
335,5567.23,0.3298467908068559,190
336,11311.0,0.6701532091931441,190
337,13549.6,0.4188775604839956,191
338,18797.8,0.5811224395160043,191
339,1696.46,0.12209350863203108,192
340,12198.3,0.8779064913679689,192
341,22968.4,1.0,193
342,26665.5,1.0,194
343,9428.2,0.40566053972187804,195
344,13813.4,0.594339460278122,195
345,508.604,0.013319190555736368,196
346,37677.2,0.9866808094442636,196
347,1411.61,0.03670327087373239,197
348,3175.45,0.08256487379374863,197
349,14371.3,0.37366816380421664,197
350,19501.7,0.5070636915283024,197
351,117.22,0.008187114897587727,198
352,2826.3,0.19740012655734682,198
353,11374.1,0.7944127585450654,198
354,179.731,0.019755342007990246,199
355,888.712,0.09768381362483394,199
356,8029.4,0.8825608443671759,199
357,16183.6,0.4043231467231627,200
358,23842.8,0.5956768532768373,200
359,12607.7,0.31907484315407725,201
360,26905.6,0.6809251568459227,201
361,6766.53,0.48668097489682394,202
362,7136.89,0.5133190251031761,202
363,10429.6,1.0,203
364,29604.1,1.0,204
365,26399.5,1.0,205
366,24730.7,1.0,206
367,14467.7,1.0,207
368,189.545,0.005919126947746267,208
369,383.422,0.011973533950031758,208
370,644.192,0.020116881092735572,208
371,30805.3,0.9619904580094865,208
372,1298.12,0.04865699613928558,209
373,6154.78,0.2306975523820233,209
374,19226.1,0.7206454514786911,209
375,320.308,0.013287542031224902,210
376,1408.28,0.05842058172675489,210
377,22377.3,0.9282918762420203,210
378,4665.32,0.12309804792816316,211
379,33233.9,0.8769019520718369,211
380,11719.5,1.0,212
381,7093.63,1.0,213
382,7164.74,0.23298497590721104,214
383,23587.2,0.7670150240927889,214
384,23784.0,1.0,215
385,26338.2,1.0,216
386,43160.1,1.0,217
387,5856.99,0.1551800470495472,218
388,31886.2,0.8448199529504528,218
389,11254.9,0.38988945816835197,219
390,17612.0,0.610110541831648,219
391,6922.9,0.4125466527699067,220
392,9857.99,0.5874533472300932,220
393,12511.8,1.0,221
394,1959.73,0.057447664855741064,222
395,9509.78,0.27877036851598397,222
396,22643.8,0.663781966628275,222
397,2940.16,0.08332799571932803,223
398,7912.42,0.2242483742005624,223
399,24431.6,0.6924236300801095,223
400,191.69,0.007909964475515589,224
401,24042.3,0.9920900355244845,224
402,15896.9,1.0,225
403,799.559,0.026272884844634543,226
404,29633.3,0.9737271151553655,226
405,15064.7,1.0,227
406,237.193,0.006852913670703678,228
407,6435.3,0.1859268837827397,228
408,27939.5,0.8072202025465566,228
409,26864.7,1.0,229
410,8282.11,0.48223492715624333,230
411,8892.32,0.5177650728437566,230
412,14893.4,0.3651014279585708,231
413,25899.1,0.6348985720414292,231
414,38965.3,1.0,232
415,29691.2,1.0,233
416,11403.7,1.0,234
417,21817.2,1.0,235
418,717.382,0.043713532803826116,236
419,15693.6,0.9562864671961739,236
420,18282.8,1.0,237
421,1588.11,0.09906487488935506,238
422,14442.9,0.9009351251106449,238
423,32662.9,1.0,239
424,5816.95,0.24337328226229896,240
425,18084.4,0.756626717737701,240
426,94.5052,0.003755361745576026,241
427,25070.9,0.996244638254424,241
428,7341.64,0.3784108644602098,242
429,12059.6,0.6215891355397902,242
430,11036.9,1.0,243
431,12967.8,1.0,244
432,3443.51,0.09537181467095919,245
433,8632.65,0.2390907811852603,245
434,10045.0,0.2782073751404192,245
435,13985.0,0.38733002900336116,245
436,2743.4,0.08528724990743501,246
437,3885.29,0.12078650550151569,246
438,25537.9,0.7939262445910492,246
439,1784.04,0.11661200056997413,247
440,13514.9,0.8833879994300259,247
441,14782.6,1.0,248
442,13197.6,1.0,249
443,17475.3,1.0,250
444,5472.2,0.32899261717528794,251
445,11161.0,0.671007382824712,251
446,27071.4,1.0,252
447,11959.9,1.0,253
448,12996.0,1.0,254
449,2791.05,0.09903679482789517,255
450,25390.9,0.9009632051721048,255
451,10867.7,1.0,256
452,15656.5,1.0,257
453,20338.7,1.0,258
454,3120.16,0.21507724461576214,259
455,11387.0,0.7849227553842378,259
456,3619.54,0.3156329681292271,260
457,7848.02,0.6843670318707729,260
458,188.634,0.006922746459484608,261
459,27059.8,0.9930772535405155,261
460,6124.45,0.418453938603024,262
461,8511.45,0.581546061396976,262
462,3684.6,0.2642711135018827,263
463,10257.9,0.7357288864981173,263
464,14049.1,1.0,264
465,875.367,0.037742240786206464,265
466,3512.83,0.15145884606229118,265
467,18805.1,0.8107989131515023,265
468,223.721,0.012155499064625161,266
469,18181.2,0.9878445009353748,266
470,15026.8,1.0,267
471,22130.5,1.0,268
472,18968.9,1.0,269
473,16823.6,1.0,270
474,52.1835,0.006576724004132043,271
475,7882.39,0.993423275995868,271
476,17904.9,1.0,272
477,14364.1,1.0,273
478,13744.8,1.0,274
479,17229.4,1.0,275
480,13046.2,1.0,276
481,328.798,0.022992387990795716,277
482,13971.5,0.9770076120092043,277
483,21572.8,1.0,278
484,80.4043,0.006220015414137694,279
485,12846.3,0.9937799845858623,279
486,7382.83,0.4960415870202486,280
487,7500.66,0.5039584129797514,280
488,7.78285,0.0006115538435664229,281
489,6157.15,0.4838110393898123,281
490,6561.42,0.5155774067666213,281
491,1114.27,0.052306588798493335,282
492,2820.9,0.13242002058896843,282
493,5269.6,0.2473680529248212,282
494,12097.9,0.5679053376877171,282
495,6974.59,0.24467532394636962,283
496,21530.9,0.7553246760536304,283
497,137.69799999999998,0.005106901953995083,284
498,5530.62,0.20511796892332704,284
499,21294.8,0.7897751291226779,284
500,14509.9,1.0,285
501,4503.47,0.30515097739082825,286
502,10254.7,0.6948490226091717,286
503,1945.0,0.1813257757620111,287
504,3752.21,0.3498058555639978,287
505,5029.34,0.46886836867399123,287
506,52.1931,0.0036881456746701365,288
507,4883.72,0.3451006128070576,288
508,9215.67,0.6512112415182723,288
509,385.43300000000005,0.016310838843200965,289
510,8427.65,0.3566431545220637,289
511,14817.4,0.6270460066347353,289
512,12417.6,0.40410825164993947,290
513,18310.8,0.5958917483500604,290
514,0.809959,6.256775639712591e-05,291
515,12944.5,0.9999374322436029,291
516,1858.54,0.11930282687372339,292
517,13719.8,0.8806971731262766,292
518,17425.5,0.49882061293776153,293
519,17507.9,0.5011793870622384,293
520,7110.63,0.4237204002998554,294
521,9670.79,0.5762795997001445,294
522,21296.5,1.0,295
523,1932.21,0.05475992564569021,296
524,33352.9,0.9452400743543098,296
525,26890.4,1.0,297
526,17472.2,1.0,298
527,15.6326,0.002531995914624608,299
528,6158.39,0.9974680040853754,299
529,124.874,0.004114367787196044,300
530,4010.54,0.1321398896908982,300
531,26215.3,0.8637457425219057,300
532,13929.1,1.0,301
533,10284.1,1.0,302
534,9976.07,0.2640333564740255,303
535,27807.3,0.7359666435259746,303
536,2612.32,0.08416651845894906,304
537,13577.8,0.43746407573801,304
