Index,3statesMRB,3statesM_1,3statesM_2,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre,Unnamed: 0,original,weight,WLD_w,CC_w,NM_w,ASC_w
43,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,30,23647,23260.0,43,23260.0,0.9836334973131284,253.65275387540387,72.24225408257168,86.65963886332564,37.520218158212664
44,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,31,21938,5335.48,44,5335.48,0.2432107679572316,62.71754798206611,17.862439762754917,21.427246404700572,9.2771556653045
45,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,31,21938,16602.2,45,16602.2,0.7567892320427685,179.2275776605986,39.46342701611392,50.79416101382407,13.033805500334585
46,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,32,16263,3004.46,46,3004.46,0.18474023498508285,47.63956238126994,13.568113562136842,16.27590163517657,7.0468258128395345
47,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,32,16263,13258.7,47,13258.7,0.8152597650149171,193.07493640384527,42.512423371824845,54.718584803965406,14.040814482482494
48,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,33,20129,8417.05,48,8417.05,0.41816474609447774,107.8334966328496,30.71180873592656,36.84096361186218,15.950689502132517
49,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,33,20129,11711.5,49,11711.5,0.5818352539055223,137.793878057098,30.34030097907773,39.051604223573484,10.020659929545348
50,1229,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,34,19259,4480.59,50,4480.59,0.2326468558646547,59.99339777642626,17.08658084418156,20.4965493417932,8.874200410730154
51,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,34,19259,14778.6,51,14778.6,0.7673531441353452,181.72938965105385,40.01429132049198,51.503189405147566,13.215742517548243
52,1215,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,35,23162,91.445,52,91.445,0.0039481219921987405,1.1484196072385402,0.4198482814973634,0.4783452124938448,0.280987423289041
53,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,35,23162,23070.2,53,23070.2,0.9960518780078012,235.89125976033912,51.93998398460653,66.85298538548828,17.15450735359168
54,1215,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,36,20753,430.815,54,430.815,0.020759252374907337,6.038398131076985,2.2075651289389473,2.51514239127101,1.4774337889654783
55,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,36,20753,20322.1,55,20322.1,0.9792407476250928,231.90994230938068,51.063353096075474,65.72465635102415,16.864977595012075
56,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,37,14943,14943.1,56,14943.1,1.0,236.8262788,52.14586221,67.11797534,17.2225039
57,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,38,19547,19546.9,57,19546.9,1.0,236.8262788,52.14586221,67.11797534,17.2225039
58,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,39,10376,10375.8,58,10375.8,1.0,236.8262788,52.14586221,67.11797534,17.2225039
59,1072,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,40,15743,59.8753,59,59.8753,0.003803265079883189,0.8205562448734256,0.1183117629031247,0.1753337297199833,-0.015023054969498184
60,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,40,15743,90.2556,60,90.2556,0.00573301464450124,1.3299150837864504,0.27099444700414504,0.3568671330004417,0.07042929380900693
61,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,40,15743,15593.0,61,15593.0,0.9904637202756156,234.56783715927816,51.64858468149623,66.47791955262342,17.0582652852553
62,1089,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,41,30274,2798.5,62,2798.5,0.09243997264952747,20.559529289470728,3.504515058240155,4.868172397319455,0.2539047052827867
63,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,41,30274,27475.2,63,27475.2,0.9075600273504724,210.53108088127712,42.899546396729036,56.49354921795115,11.149249701792378
64,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,42,25190,25190.2,64,25190.2,1.0,231.9748276,47.26910078,62.24772744,12.28486201
65,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,43,12526,12526.1,65,12526.1,1.0,231.9748276,47.26910078,62.24772744,12.28486201
66,1058,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,44,14423,14422.8,66,14422.8,1.0,231.9748276,47.26910078,62.24772744,12.28486201
67,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,45,14922,3320.16,67,3320.16,0.2224971284510523,52.69316697474832,11.602304602329243,14.93355678059854,3.831957662487049
68,1215,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,45,14922,11602.1,68,11602.1,0.7775028715489477,226.15804276954898,82.68063781314359,94.20042669414418,55.33479687508394
69,1215,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,46,22924,160.474,69,160.474,0.007000422361811303,2.036264916621285,0.7444337596887104,0.8481547755677171,0.4982193167452979
70,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,46,22924,22763.0,70,22763.0,0.9929995776381888,235.16839482202397,51.78081915010919,66.64812116455037,17.10193909857206
71,1215,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,47,17823,2441.13,71,2441.13,0.13696185302155647,39.83911281476961,14.564696515309794,16.593977292647264,9.747560547891569
72,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,47,17823,15382.3,72,15382.3,0.8630381469784435,204.39011281135225,45.00386829431164,57.92537306637847,14.863677852185017
73,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,48,14075,14074.6,73,14074.6,1.0,236.8262788,52.14586221,67.11797534,17.2225039
74,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,49,17965,17964.6,74,17964.6,1.0,236.8262788,52.14586221,67.11797534,17.2225039
75,1222,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,50,21090,21090.0,75,21090.0,1.0,236.8262788,52.14586221,67.11797534,17.2225039
76,1072,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,51,26605,4951.09,76,4951.09,0.18609489351513747,40.15006154069891,5.789029809019098,8.579131634667526,-0.735082555672582
