Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs,Subbasin,original,weight
170,5,Chippewa,17354,876,245.3499519,60.7537017,75.58256866,25.66624544,170,876,0.050475367
170,27,Renville,17354,16479,267.1064237,82.60749044,97.36010955,47.49372663,170,16479,0.949524633
170,38,Yellow Medicine,17354,0,249.3057614,64.54149024,79.63110527,29.54370587,170,0,0
171,18,Lyon,12417,906,229.14529,44.48585432,59.39409691,9.437279774,171,906,0.07294686
171,26,Redwood,12417,923,224.3774624,39.61909289,54.63007856,4.677307475,171,923,0.07431562
171,38,Yellow Medicine,12417,10591,249.3057614,64.54149024,79.63110527,29.54370587,171,10591,0.85273752
172,18,Lyon,22009,6696,229.14529,44.48585432,59.39409691,9.437279774,172,6696,0.304170074
172,38,Yellow Medicine,22009,15318,249.3057614,64.54149024,79.63110527,29.54370587,172,15318,0.695829926
173,18,Lyon,11535,7,229.14529,44.48585432,59.39409691,9.437279774,173,7,0.000606744
173,38,Yellow Medicine,11535,11530,249.3057614,64.54149024,79.63110527,29.54370587,173,11530,0.999393256
174,27,Renville,27195,18908,267.1064237,82.60749044,97.36010955,47.49372663,174,18908,0.695223738
174,38,Yellow Medicine,27195,8289,249.3057614,64.54149024,79.63110527,29.54370587,174,8289,0.304776262
175,26,Redwood,10716,0,224.3774624,39.61909289,54.63007856,4.677307475,175,0,0
175,27,Renville,10716,10716,267.1064237,82.60749044,97.36010955,47.49372663,175,10716,1
175,38,Yellow Medicine,10716,0,249.3057614,64.54149024,79.63110527,29.54370587,175,0,0
176,26,Redwood,23327,5092,224.3774624,39.61909289,54.63007856,4.677307475,176,5092,0.218269107
176,38,Yellow Medicine,23327,18237,249.3057614,64.54149024,79.63110527,29.54370587,176,18237,0.781730893
177,26,Redwood,15205,2937,224.3774624,39.61909289,54.63007856,4.677307475,177,2937,0.193147442
177,27,Renville,15205,6867,267.1064237,82.60749044,97.36010955,47.49372663,177,6867,0.451598053
177,38,Yellow Medicine,15205,5402,249.3057614,64.54149024,79.63110527,29.54370587,177,5402,0.355254505
178,14,Kandiyohi,26981,1305,230.169958,45.42902496,60.46463069,10.45861018,178,1305,0.048372748
178,27,Renville,26981,25673,267.1064237,82.60749044,97.36010955,47.49372663,178,25673,0.951627252
179,27,Renville,10166,10164,267.1064237,82.60749044,97.36010955,47.49372663,179,10164,1
180,27,Renville,26409,26406,267.1064237,82.60749044,97.36010955,47.49372663,180,26406,1
181,27,Renville,14763,14760,267.1064237,82.60749044,97.36010955,47.49372663,181,14760,1
182,27,Renville,32657,32650,267.1064237,82.60749044,97.36010955,47.49372663,182,32650,1
183,26,Redwood,15846,4,224.3774624,39.61909289,54.63007856,4.677307475,183,4,0.000252461
183,27,Renville,15846,15840,267.1064237,82.60749044,97.36010955,47.49372663,183,15840,0.999747539
184,27,Renville,14023,14022,267.1064237,82.60749044,97.36010955,47.49372663,184,14022,1
185,27,Renville,15026,15026,267.1064237,82.60749044,97.36010955,47.49372663,185,15026,1
186,26,Redwood,15278,0,224.3774624,39.61909289,54.63007856,4.677307475,186,0,0
186,27,Renville,15278,15277,267.1064237,82.60749044,97.36010955,47.49372663,186,15277,1
187,26,Redwood,18407,10989,224.3774624,39.61909289,54.63007856,4.677307475,187,10989,0.597001141
187,27,Renville,18407,5485,267.1064237,82.60749044,97.36010955,47.49372663,187,5485,0.297984462
187,38,Yellow Medicine,18407,1933,249.3057614,64.54149024,79.63110527,29.54370587,187,1933,0.105014397
188,26,Redwood,19663,19603,224.3774624,39.61909289,54.63007856,4.677307475,188,19603,0.996948584
188,38,Yellow Medicine,19663,60,249.3057614,64.54149024,79.63110527,29.54370587,188,60,0.003051416
189,26,Redwood,15818,3849,224.3774624,39.61909289,54.63007856,4.677307475,189,3849,0.243361153
189,27,Renville,15818,11967,267.1064237,82.60749044,97.36010955,47.49372663,189,11967,0.756638847
190,26,Redwood,16878,5567,224.3774624,39.61909289,54.63007856,4.677307475,190,5567,0.329876748
190,27,Renville,16878,11309,267.1064237,82.60749044,97.36010955,47.49372663,190,11309,0.670123252
191,8,Douglas,32347,13653,253.1559149,68.34691791,83.41991768,33.36805272,191,13653,0.422014095
191,23,Otter Tail,32347,18699,255.0010618,70.18700388,85.26984466,35.23543561,191,18699,0.577985905
192,8,Douglas,13895,12248,253.1559149,68.34691791,83.41991768,33.36805272,192,12248,0.881277882
192,23,Otter Tail,13895,1650,255.0010618,70.18700388,85.26984466,35.23543561,192,1650,0.118722118
193,8,Douglas,22968,22972,253.1559149,68.34691791,83.41991768,33.36805272,193,22972,1
194,8,Douglas,26666,26672,253.1559149,68.34691791,83.41991768,33.36805272,194,26672,1
195,8,Douglas,23242,13816,253.1559149,68.34691791,83.41991768,33.36805272,195,13816,0.594262119
195,11,Grant,23242,9433,236.8262788,52.14586221,67.11797534,17.2225039,195,9433,0.405737881
196,8,Douglas,38186,37685,253.1559149,68.34691791,83.41991768,33.36805272,196,37685,0.986673299
196,11,Grant,38186,509,236.8262788,52.14586221,67.11797534,17.2225039,196,509,0.013326701
197,8,Douglas,38460,19501,253.1559149,68.34691791,83.41991768,33.36805272,197,19501,0.506888126
197,11,Grant,38460,14371,236.8262788,52.14586221,67.11797534,17.2225039,197,14371,0.373544396
197,25,Pope,38460,1415,243.8139225,59.11259891,74.07683194,24.06796447,197,1415,0.036779996
197,33,Stevens,38460,3185,222.4095129,37.91125157,52.66306618,2.746698187,197,3185,0.082787482
198,8,Douglas,14318,11357,253.1559149,68.34691791,83.41991768,33.36805272,198,11357,0.793086592
198,25,Pope,14318,2846,243.8139225,59.11259891,74.07683194,24.06796447,198,2846,0.198743017
198,33,Stevens,14318,117,222.4095129,37.91125157,52.66306618,2.746698187,198,117,0.008170391
199,8,Douglas,9098,860,253.1559149,68.34691791,83.41991768,33.36805272,199,860,0.094505495
199,25,Pope,9098,8060,243.8139225,59.11259891,74.07683194,24.06796447,199,8060,0.885714286
199,33,Stevens,9098,180,222.4095129,37.91125157,52.66306618,2.746698187,199,180,0.01978022
200,25,Pope,40026,23847,243.8139225,59.11259891,74.07683194,24.06796447,200,23847,0.595594296
200,33,Stevens,40026,16192,222.4095129,37.91125157,52.66306618,2.746698187,200,16192,0.404405704
201,8,Douglas,39513,12460,253.1559149,68.34691791,83.41991768,33.36805272,201,12460,0.315299357
201,25,Pope,39513,27058,243.8139225,59.11259891,74.07683194,24.06796447,201,27058,0.684700643
202,8,Douglas,13903,6713,253.1559149,68.34691791,83.41991768,33.36805272,202,6713,0.482741263
202,25,Pope,13903,7193,243.8139225,59.11259891,74.07683194,24.06796447,202,7193,0.517258737
203,25,Pope,10430,10432,243.8139225,59.11259891,74.07683194,24.06796447,203,10432,1
204,25,Pope,29604,29608,243.8139225,59.11259891,74.07683194,24.06796447,204,29608,1
205,25,Pope,26399,26402,243.8139225,59.11259891,74.07683194,24.06796447,205,26402,1
206,25,Pope,24731,24735,243.8139225,59.11259891,74.07683194,24.06796447,206,24735,1
207,25,Pope,14468,14471,243.8139225,59.11259891,74.07683194,24.06796447,207,14471,1
208,14,Kandiyohi,32023,383,230.169958,45.42902496,60.46463069,10.45861018,208,383,0.011960901
208,25,Pope,32023,30792,243.8139225,59.11259891,74.07683194,24.06796447,208,30792,0.961618938
208,31,Stearns,32023,189,247.6632706,62.95575483,77.93697148,27.92082094,208,189,0.005902377
208,34,Swift,32023,657,233.7713403,49.17832665,64.02132331,14.08271563,208,657,0.020517785
