Subbasin,Area_acre,inter_acre,WLD,CC,MN,ASC_obs,County,State
82,14025,14025.4,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
83,22590,22590.2,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
84,25864,25864.1,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
85,13467,80.4364,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
85,13467,13009,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
85,13467,377.263,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
86,24867,14599,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
86,24867,5568.49,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
86,24867,4699.91,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
87,15194,12281.5,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
87,15194,2912.88,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
88,8210,3828.88,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
88,8210,4380.71,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
89,28982,28982.5,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
90,32022,10341.5,222.4095129,37.91125157,52.66306618,2.746698187,Stevens,Minnesota
90,32022,21680.7,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
91,12847,12847.4,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
92,23931,23930.8,233.7713403,49.17832665,64.02132331,14.08271563,Swift,Minnesota
93,24898,15687.3,284.0802463,99.61335766,114.324197,64.32667692,Brookings,South Dakota
93,24898,3004.4,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
93,24898,6206.19,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
94,24828,650.495,284.0802463,99.61335766,114.324197,64.32667692,Brookings,South Dakota
94,24828,1103.44,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
94,24828,22646.4,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
94,24828,427.316,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
95,12541,6392.94,284.0802463,99.61335766,114.324197,64.32667692,Brookings,South Dakota
95,12541,6138.66,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
95,12541,9.2623,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
96,18852,18852,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
96,18852,0.393089,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
97,17373,878.605,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
97,17373,13294.9,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
97,17373,3199.75,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
98,17223,17223,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
99,11505,8690.02,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
99,11505,24.9396,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
99,11505,2790.21,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
100,20640,2497.51,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
100,20640,18142.6,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
101,23186,180.185,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
101,23186,1292.58,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
101,23186,21712.8,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
102,13965,1869.47,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
102,13965,12095.1,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
103,16276,7281.91,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
103,16276,8993.76,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
104,11317,10637.7,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
104,11317,536.873,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
104,11317,142.081,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
105,25658,25332.2,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
105,25658,325.926,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
106,27097,21040.8,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
106,27097,6056.11,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
107,22301,18614.1,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
107,22301,3686.79,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
108,24948,6255.67,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
108,24948,10358.4,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
108,24948,8334.27,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
109,12889,948.213,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
109,12889,1078.26,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
109,12889,10863,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
110,16503,4897.82,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
110,16503,11605.4,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
111,27890,27890.3,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
112,11457,11457.1,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
113,17719,421.562,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
113,17719,15480.8,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
113,17719,1816.41,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
114,38820,7074.76,304.9638922,120.4408255,135.198025,85.29893394,Deuel,South Dakota
114,38820,18894.4,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
114,38820,12851.1,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
115,27637,27636.6,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
116,31884,31883.8,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
117,10514,10514.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
118,35381,15402.4,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
118,35381,19978.8,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
119,15561,15561.2,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
120,26810,26810.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
121,20478,20477.6,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
122,25143,24856.5,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
122,25143,286.341,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
123,10917,10917.1,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
124,34491,34491.1,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
125,25130,3.71825,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
125,25130,25126.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
126,27869,27868.9,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
127,22106,22105.8,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
128,14596,10244.2,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
128,14596,4351.99,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
129,26154,9450.6,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
129,26154,11933.3,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
129,26154,4770.11,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
130,34657,23.016,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
130,34657,5274.68,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
130,34657,29359.1,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
131,26883,19655.6,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
131,26883,816.826,215.7504743,31.10794552,46.10084389,-3.950041518,Lac qui Parle,Minnesota
131,26883,6410.81,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
132,21570,21569.6,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
133,14751,14750.9,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
134,20932,8193.75,245.3499519,60.7537017,75.58256866,25.66624544,Chippewa,Minnesota
134,20932,3955.28,267.1064237,82.60749044,97.36010955,47.49372663,Renville,Minnesota
134,20932,8782.93,249.3057614,64.54149024,79.63110527,29.54370587,Yellow Medicine,Minnesota
135,15797,15797.5,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
136,29251,29251.4,239.9594359,55.29384572,70.2707165,20.31938607,Lincoln,Minnesota
137,27344,66.1741,284.0802463,99.61335766,114.324197,64.32667692,Brookings,South Dakota
