Index,County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre,GW,Buffer,Unnamed: 0,original,weight
63,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,41,30274,27475.2,1.76,1.82,63,27475.2,0.9075600273504724
64,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,42,25190,25190.2,1.76,1.82,64,25190.2,1.0
65,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,43,12526,12526.1,1.76,1.82,65,12526.1,1.0
66,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,44,14423,14422.8,1.76,1.82,66,14422.8,1.0
67,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,45,14922,3320.16,1.94,0.96,67,3320.16,0.2224971284510523
68,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,45,14922,11602.1,1.94,0.96,68,11602.1,0.7775028715489477
69,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,46,22924,160.474,1.94,0.96,69,160.474,0.007000422361811303
70,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,46,22924,22763.0,1.94,0.96,70,22763.0,0.9929995776381888
71,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,47,17823,2441.13,1.94,0.96,71,2441.13,0.13696185302155647
72,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,47,17823,15382.3,1.94,0.96,72,15382.3,0.8630381469784435
73,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,48,14075,14074.6,1.94,0.96,73,14074.6,1.0
74,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,49,17965,17964.6,1.94,0.96,74,17964.6,1.0
75,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,50,21090,21090.0,1.94,0.96,75,21090.0,1.0
76,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,51,26605,4951.09,1.76,1.82,76,4951.09,0.18609489351513747
77,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,51,26605,21654.1,1.94,0.96,77,21654.1,0.8139051064848625
78,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,52,16223,7565.13,1.94,0.96,78,7565.13,0.4663163857618455
79,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,52,16223,8658.04,1.94,0.96,79,8658.04,0.5336836142381545
80,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,53,25060,393.095,1.94,0.96,80,393.095,0.01568628155178444
81,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,53,25060,24666.7,1.94,0.96,81,24666.7,0.9843137184482156
82,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,54,16807,4327.57,1.94,0.96,82,4327.57,0.2574866260842971
83,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,54,16807,12479.4,1.94,0.96,83,12479.4,0.7425133739157027
84,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,55,14911,3933.21,1.76,1.82,84,3933.21,0.26377537436599713
85,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,55,14911,10978.0,1.94,0.96,85,10978.0,0.7362246256340029
86,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,56,31420,1773.07,1.76,1.82,86,1773.07,0.056431307859300936
87,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,56,31420,29646.9,1.94,0.96,87,29646.9,0.943568692140699
88,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,57,11014,451.173,1.76,1.82,88,451.173,0.040962576467824974
89,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,57,11014,10563.1,1.94,0.96,89,10563.1,0.9590374235321748
90,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,58,21022,1739.37,1.94,0.96,90,1739.37,0.08274176123971122
91,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,58,21022,19282.3,1.76,1.82,91,19282.3,0.9172582387602888
92,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,59,13343,13342.6,1.76,1.82,92,13342.6,1.0
93,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,60,9253,1310.08,1.94,0.96,93,1310.08,0.14157761870180172
94,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,60,9253,7943.36,1.76,1.82,94,7943.36,0.8584223812981984
95,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,61,27449,391.0,1.94,0.96,95,391.0,0.014244599074647528
96,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,61,27449,12342.6,1.76,1.82,96,12342.6,0.4496557251630297
97,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,61,27449,14715.4,1.76,1.82,97,14715.4,0.5360996757623229
98,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,62,31307,31306.5,1.76,1.82,98,31306.5,1.0
99,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,63,32282,597.8430000000002,1.76,1.82,99,597.8430000000002,0.018519481678911584
100,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,63,32282,31684.0,1.76,1.82,100,31684.0,0.9814805183210884
101,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,64,24851,3055.64,1.76,1.82,101,3055.64,0.12295823434351234
102,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,64,24851,21795.4,1.76,1.82,102,21795.4,0.8770417656564876
103,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,65,39166,1950.07,1.76,1.82,103,1950.07,0.04978990690132275
104,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,65,39166,14198.3,1.76,1.82,104,14198.3,0.3625162353951657
105,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,65,39166,23017.6,1.76,1.82,105,23017.6,0.5876938577035115
106,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,66,23281,23280.9,1.76,1.82,106,23280.9,1.0
107,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,67,12455,5414.18,1.76,1.82,107,5414.18,0.4347017606682655
108,Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,67,12455,7040.75,1.76,1.82,108,7040.75,0.5652982393317345
109,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,68,39847,6888.27,1.76,1.82,109,6888.27,0.17286679865396049
110,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,68,39847,10160.6,1.76,1.82,110,10160.6,0.2549886102611296
111,Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,68,39847,22798.4,1.76,1.82,111,22798.4,0.5721445910849099
112,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,69,36698,36697.6,1.76,1.82,112,36697.6,1.0
113,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,70,16354,16354.1,1.76,1.82,113,16354.1,1.0
114,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,71,13939,13939.0,1.76,1.82,114,13939.0,1.0
115,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,72,18465,4886.91,1.76,1.82,115,4886.91,0.2646535584834482
116,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,72,18465,13578.4,1.76,1.82,116,13578.4,0.7353464415165519
117,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,73,38329,1169.13,1.76,1.82,117,1169.13,0.030502865619944208
118,Douglas,Minnesota,253.15591490000003,68.34691791,83.41991768,33.36805272,73,38329,15665.9,1.76,1.82,118,15665.9,0.4087268674274751
119,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,73,38329,21493.5,1.76,1.82,119,21493.5,0.5607702669525808
120,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,74,12830,29.8216,1.76,1.82,120,29.8216,0.002324331870719585
121,Douglas,Minnesota,253.15591490000003,68.34691791,83.41991768,33.36805272,74,12830,2873.83,1.76,1.82,121,2873.83,0.22398981476614485
122,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,74,12830,9926.53,1.76,1.82,122,9926.53,0.7736858533631357
123,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,75,15955,15954.8,1.76,1.82,123,15954.8,1.0
124,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,76,17799,5161.09,1.76,1.82,124,5161.09,0.2899702169092219
125,Otter Tail,Minnesota,255.00106180000003,70.18700388,85.26984466,35.23543561,76,17799,12637.6,1.76,1.82,125,12637.6,0.7100297830907779
126,Douglas,Minnesota,253.15591490000003,68.34691791,83.41991768,33.36805272,77,27158,22.3489,1.76,1.82,126,22.3489,0.0008229229711821133
127,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,77,27158,27135.6,1.76,1.82,127,27135.6,0.999177077028818
128,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,78,32800,32799.9,1.76,1.82,128,32799.9,1.0
129,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,79,35666,14381.3,1.76,1.82,129,14381.3,0.4032181639250497
130,Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,79,35666,21285.0,1.76,1.82,130,21285.0,0.5967818360749503
131,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,80,42154,42154.4,1.76,1.82,131,42154.4,1.0
132,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,81,29818,712.818,1.76,1.82,132,712.818,0.02390585355995385
133,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,81,29818,29104.9,1.76,1.82,133,29104.9,0.9760941464400462
134,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,82,14025,14025.4,1.76,1.82,134,14025.4,1.0
135,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,83,22590,22590.2,1.76,1.82,135,22590.2,1.0
136,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,84,25864,25864.1,1.76,1.82,136,25864.1,1.0
137,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,85,13467,80.4364,1.76,1.82,137,80.4364,0.005972985481505588
138,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,85,13467,377.263,1.76,1.82,138,377.26300000000003,0.02801451111324279
139,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,85,13467,13009.0,1.76,1.82,139,13009.0,0.9660125034052516
140,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,86,24867,4699.91,1.76,1.82,140,4699.91,0.1889988498998689
141,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,86,24867,5568.49,1.76,1.82,141,5568.49,0.22392731045465145
142,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,86,24867,14599.0,1.76,1.82,142,14599.0,0.5870738396454795
143,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,87,15194,2912.88,1.76,1.82,143,2912.88,0.19170772351356224
144,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,87,15194,12281.5,1.76,1.82,144,12281.5,0.8082922764864376
145,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,88,8210,3828.88,1.76,1.82,145,3828.88,0.4663911352454873
146,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,88,8210,4380.71,1.76,1.82,146,4380.71,0.5336088647545127
147,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,89,28982,28982.5,1.76,1.82,147,28982.5,1.0
148,Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,90,32022,10341.5,1.76,1.82,148,10341.5,0.32294782994297705
149,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,90,32022,21680.7,1.76,1.82,149,21680.7,0.6770521700570229
150,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,91,12847,12847.4,1.76,1.82,150,12847.4,1.0
151,Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,92,23931,23930.8,1.76,1.82,151,23930.8,1.0
152,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,93,24898,3004.4,1.94,0.96,152,3004.4,0.1206688598913402
153,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,93,24898,6206.19,1.76,1.82,153,6206.19,0.24926570082846375
154,Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,93,24898,15687.3,1.94,0.96,154,15687.3,0.6300654392801961
155,Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,94,24828,427.316,1.76,1.82,155,427.316,0.017211293972192534
156,Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,94,24828,650.495,1.94,0.96,156,650.495,0.02620042467972504
157,Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,94,24828,1103.44,1.94,0.96,157,1103.44,0.04444399512462939
158,Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,94,24828,22646.4,1.76,1.82,158,22646.4,0.912144286223453
