Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs
478,30,Sibley,20645,3867,262.75399770000,78.01929828000,93.03441559000,43.10819449000
479,30,Sibley,19402,4000,262.75399770000,78.01929828000,93.03441559000,43.10819449000
480,30,Sibley,38835,20532,262.75399770000,78.01929828000,93.03441559000,43.10819449000
481,30,Sibley,11032,9373,262.75399770000,78.01929828000,93.03441559000,43.10819449000
482,30,Sibley,20859,354,262.75399770000,78.01929828000,93.03441559000,43.10819449000
483,30,Sibley,13664,2715,262.75399770000,78.01929828000,93.03441559000,43.10819449000
484,30,Sibley,8290,7425,262.75399770000,78.01929828000,93.03441559000,43.10819449000
485,30,Sibley,13304,13296,262.75399770000,78.01929828000,93.03441559000,43.10819449000
486,30,Sibley,10951,10944,262.75399770000,78.01929828000,93.03441559000,43.10819449000
487,30,Sibley,17803,17792,262.75399770000,78.01929828000,93.03441559000,43.10819449000
488,30,Sibley,19545,19532,262.75399770000,78.01929828000,93.03441559000,43.10819449000
489,30,Sibley,28458,24137,262.75399770000,78.01929828000,93.03441559000,43.10819449000
491,30,Sibley,25361,8778,262.75399770000,78.01929828000,93.03441559000,43.10819449000
500,30,Sibley,29418,15330,262.75399770000,78.01929828000,93.03441559000,43.10819449000
501,30,Sibley,26655,933,262.75399770000,78.01929828000,93.03441559000,43.10819449000
300,37,Watonwan,30351,126,235.55585670000,51.04232258000,65.83097886000,15.96629764000
384,37,Watonwan,34076,1170,235.55585670000,51.04232258000,65.83097886000,15.96629764000
390,37,Watonwan,10335,83,235.55585670000,51.04232258000,65.83097886000,15.96629764000
397,37,Watonwan,15466,943,235.55585670000,51.04232258000,65.83097886000,15.96629764000
398,37,Watonwan,11443,11439,235.55585670000,51.04232258000,65.83097886000,15.96629764000
399,37,Watonwan,13241,12733,235.55585670000,51.04232258000,65.83097886000,15.96629764000
401,37,Watonwan,13154,5375,235.55585670000,51.04232258000,65.83097886000,15.96629764000
402,37,Watonwan,15970,10583,235.55585670000,51.04232258000,65.83097886000,15.96629764000
403,37,Watonwan,16284,11945,235.55585670000,51.04232258000,65.83097886000,15.96629764000
404,37,Watonwan,23668,23660,235.55585670000,51.04232258000,65.83097886000,15.96629764000
405,37,Watonwan,22353,22346,235.55585670000,51.04232258000,65.83097886000,15.96629764000
406,37,Watonwan,17091,17084,235.55585670000,51.04232258000,65.83097886000,15.96629764000
407,37,Watonwan,33431,6930,235.55585670000,51.04232258000,65.83097886000,15.96629764000
408,37,Watonwan,26971,6981,235.55585670000,51.04232258000,65.83097886000,15.96629764000
409,37,Watonwan,19916,7009,235.55585670000,51.04232258000,65.83097886000,15.96629764000
410,37,Watonwan,27786,26026,235.55585670000,51.04232258000,65.83097886000,15.96629764000
411,37,Watonwan,8785,8782,235.55585670000,51.04232258000,65.83097886000,15.96629764000
412,37,Watonwan,20427,20418,235.55585670000,51.04232258000,65.83097886000,15.96629764000
414,37,Watonwan,12253,3021,235.55585670000,51.04232258000,65.83097886000,15.96629764000
415,37,Watonwan,10706,5398,235.55585670000,51.04232258000,65.83097886000,15.96629764000
416,37,Watonwan,13089,3574,235.55585670000,51.04232258000,65.83097886000,15.96629764000
417,37,Watonwan,10260,9677,235.55585670000,51.04232258000,65.83097886000,15.96629764000
418,37,Watonwan,25809,25021,235.55585670000,51.04232258000,65.83097886000,15.96629764000
419,37,Watonwan,12459,703,235.55585670000,51.04232258000,65.83097886000,15.96629764000
420,37,Watonwan,33192,9069,235.55585670000,51.04232258000,65.83097886000,15.96629764000
421,37,Watonwan,11699,11695,235.55585670000,51.04232258000,65.83097886000,15.96629764000
422,37,Watonwan,18400,11440,235.55585670000,51.04232258000,65.83097886000,15.96629764000
423,37,Watonwan,27978,10973,235.55585670000,51.04232258000,65.83097886000,15.96629764000
18,1,Big Stone,14153,594,231.97482760000,47.26910078000,62.24772744000,12.28486201000
19,1,Big Stone,21201,11065,231.97482760000,47.26910078000,62.24772744000,12.28486201000
20,1,Big Stone,33136,21708,231.97482760000,47.26910078000,62.24772744000,12.28486201000
21,1,Big Stone,17865,17886,231.97482760000,47.26910078000,62.24772744000,12.28486201000
22,1,Big Stone,9545,0,231.97482760000,47.26910078000,62.24772744000,12.28486201000
24,1,Big Stone,17073,17094,231.97482760000,47.26910078000,62.24772744000,12.28486201000
25,1,Big Stone,11670,11682,231.97482760000,47.26910078000,62.24772744000,12.28486201000
26,1,Big Stone,72498,39694,231.97482760000,47.26910078000,62.24772744000,12.28486201000
40,1,Big Stone,15743,90,231.97482760000,47.26910078000,62.24772744000,12.28486201000
41,1,Big Stone,30274,27500,231.97482760000,47.26910078000,62.24772744000,12.28486201000
42,1,Big Stone,25190,25213,231.97482760000,47.26910078000,62.24772744000,12.28486201000
43,1,Big Stone,12526,12538,231.97482760000,47.26910078000,62.24772744000,12.28486201000
44,1,Big Stone,14423,14436,231.97482760000,47.26910078000,62.24772744000,12.28486201000
61,1,Big Stone,27449,12356,231.97482760000,47.26910078000,62.24772744000,12.28486201000
63,1,Big Stone,32282,31709,231.97482760000,47.26910078000,62.24772744000,12.28486201000
64,1,Big Stone,24851,3059,231.97482760000,47.26910078000,62.24772744000,12.28486201000
65,1,Big Stone,39166,23038,231.97482760000,47.26910078000,62.24772744000,12.28486201000
81,1,Big Stone,29818,714,231.97482760000,47.26910078000,62.24772744000,12.28486201000
85,1,Big Stone,13467,81,231.97482760000,47.26910078000,62.24772744000,12.28486201000
86,1,Big Stone,24867,14612,231.97482760000,47.26910078000,62.24772744000,12.28486201000
489,4,Carver,28458,4277,308.58187750000,123.82092670000,138.90530740000,89.14301450000
490,4,Carver,12391,12334,308.58187750000,123.82092670000,138.90530740000,89.14301450000
491,4,Carver,25361,16566,308.58187750000,123.82092670000,138.90530740000,89.14301450000
492,4,Carver,19209,19079,308.58187750000,123.82092670000,138.90530740000,89.14301450000
501,4,Carver,26655,5650,308.58187750000,123.82092670000,138.90530740000,89.14301450000
502,4,Carver,20240,20226,308.58187750000,123.82092670000,138.90530740000,89.14301450000
503,4,Carver,10763,10634,308.58187750000,123.82092670000,138.90530740000,89.14301450000
504,4,Carver,9892,9885,308.58187750000,123.82092670000,138.90530740000,89.14301450000
505,4,Carver,12209,12200,308.58187750000,123.82092670000,138.90530740000,89.14301450000
506,4,Carver,10276,10186,308.58187750000,123.82092670000,138.90530740000,89.14301450000
507,4,Carver,32966,15252,308.58187750000,123.82092670000,138.90530740000,89.14301450000
508,4,Carver,8393,3880,308.58187750000,123.82092670000,138.90530740000,89.14301450000
509,4,Carver,20607,1287,308.58187750000,123.82092670000,138.90530740000,89.14301450000
67,5,Chippewa,12455,7083,245.34995190000,60.75370170000,75.58256866000,25.66624544000
68,5,Chippewa,39847,22808,245.34995190000,60.75370170000,75.58256866000,25.66624544000
125,5,Chippewa,25130,3,245.34995190000,60.75370170000,75.58256866000,25.66624544000
129,5,Chippewa,26154,9451,245.34995190000,60.75370170000,75.58256866000,25.66624544000
130,5,Chippewa,34657,23,245.34995190000,60.75370170000,75.58256866000,25.66624544000
131,5,Chippewa,26883,19661,245.34995190000,60.75370170000,75.58256866000,25.66624544000
132,5,Chippewa,21570,21574,245.34995190000,60.75370170000,75.58256866000,25.66624544000
134,5,Chippewa,20932,8195,245.34995190000,60.75370170000,75.58256866000,25.66624544000
159,5,Chippewa,23635,8700,245.34995190000,60.75370170000,75.58256866000,25.66624544000
160,5,Chippewa,35017,19604,245.34995190000,60.75370170000,75.58256866000,25.66624544000
163,5,Chippewa,32106,214,245.34995190000,60.75370170000,75.58256866000,25.66624544000
164,5,Chippewa,10265,6547,245.34995190000,60.75370170000,75.58256866000,25.66624544000
165,5,Chippewa,15404,1518,245.34995190000,60.75370170000,75.58256866000,25.66624544000
166,5,Chippewa,15866,13483,245.34995190000,60.75370170000,75.58256866000,25.66624544000
167,5,Chippewa,22174,22176,245.34995190000,60.75370170000,75.58256866000,25.66624544000
168,5,Chippewa,14917,14919,245.34995190000,60.75370170000,75.58256866000,25.66624544000
169,5,Chippewa,28033,21876,245.34995190000,60.75370170000,75.58256866000,25.66624544000
170,5,Chippewa,17354,876,245.34995190000,60.75370170000,75.58256866000,25.66624544000
228,5,Chippewa,34612,237,245.34995190000,60.75370170000,75.58256866000,25.66624544000
229,5,Chippewa,26865,26866,245.34995190000,60.75370170000,75.58256866000,25.66624544000
230,5,Chippewa,17174,9013,245.34995190000,60.75370170000,75.58256866000,25.66624544000
231,5,Chippewa,40793,15051,245.34995190000,60.75370170000,75.58256866000,25.66624544000
236,5,Chippewa,16411,793,245.34995190000,60.75370170000,75.58256866000,25.66624544000
237,5,Chippewa,18283,18286,245.34995190000,60.75370170000,75.58256866000,25.66624544000
238,5,Chippewa,16031,14539,245.34995190000,60.75370170000,75.58256866000,25.66624544000
239,5,Chippewa,32663,32672,245.34995190000,60.75370170000,75.58256866000,25.66624544000
240,5,Chippewa,23901,6034,245.34995190000,60.75370170000,75.58256866000,25.66624544000
241,5,Chippewa,25165,25096,245.34995190000,60.75370170000,75.58256866000,25.66624544000
242,5,Chippewa,19401,12121,245.34995190000,60.75370170000,75.58256866000,25.66624544000
243,5,Chippewa,11037,11040,245.34995190000,60.75370170000,75.58256866000,25.66624544000
244,5,Chippewa,12968,12973,245.34995190000,60.75370170000,75.58256866000,25.66624544000
73,8,Douglas,38329,15712,253.15591490000,68.34691791000,83.41991768000,33.36805272000
74,8,Douglas,12830,2874,253.15591490000,68.34691791000,83.41991768000,33.36805272000
77,8,Douglas,27158,22,253.15591490000,68.34691791000,83.41991768000,33.36805272000
191,8,Douglas,32347,13653,253.15591490000,68.34691791000,83.41991768000,33.36805272000
192,8,Douglas,13895,12248,253.15591490000,68.34691791000,83.41991768000,33.36805272000
193,8,Douglas,22968,22972,253.15591490000,68.34691791000,83.41991768000,33.36805272000
194,8,Douglas,26666,26672,253.15591490000,68.34691791000,83.41991768000,33.36805272000
195,8,Douglas,23242,13816,253.15591490000,68.34691791000,83.41991768000,33.36805272000
196,8,Douglas,38186,37685,253.15591490000,68.34691791000,83.41991768000,33.36805272000
197,8,Douglas,38460,19501,253.15591490000,68.34691791000,83.41991768000,33.36805272000
198,8,Douglas,14318,11357,253.15591490000,68.34691791000,83.41991768000,33.36805272000
199,8,Douglas,9098,860,253.15591490000,68.34691791000,83.41991768000,33.36805272000
201,8,Douglas,39513,12460,253.15591490000,68.34691791000,83.41991768000,33.36805272000
202,8,Douglas,13903,6713,253.15591490000,68.34691791000,83.41991768000,33.36805272000
214,8,Douglas,30752,7096,253.15591490000,68.34691791000,83.41991768000,33.36805272000
72,11,Grant,18465,4947,236.82627880000,52.14586221000,67.11797534000,17.22250390000
73,11,Grant,38329,1171,236.82627880000,52.14586221000,67.11797534000,17.22250390000
74,11,Grant,12830,9933,236.82627880000,52.14586221000,67.11797534000,17.22250390000
76,11,Grant,17799,5177,236.82627880000,52.14586221000,67.11797534000,17.22250390000
77,11,Grant,27158,27147,236.82627880000,52.14586221000,67.11797534000,17.22250390000
78,11,Grant,32800,32814,236.82627880000,52.14586221000,67.11797534000,17.22250390000
79,11,Grant,35666,21246,236.82627880000,52.14586221000,67.11797534000,17.22250390000
195,11,Grant,23242,9433,236.82627880000,52.14586221000,67.11797534000,17.22250390000
196,11,Grant,38186,509,236.82627880000,52.14586221000,67.11797534000,17.22250390000
197,11,Grant,38460,14371,236.82627880000,52.14586221000,67.11797534000,17.22250390000
156,14,Kandiyohi,21375,21371,230.16995800000,45.42902496000,60.46463069000,10.45861018000
157,14,Kandiyohi,27520,27518,230.16995800000,45.42902496000,60.46463069000,10.45861018000
158,14,Kandiyohi,17526,17523,230.16995800000,45.42902496000,60.46463069000,10.45861018000
159,14,Kandiyohi,23635,14933,230.16995800000,45.42902496000,60.46463069000,10.45861018000
160,14,Kandiyohi,35017,15413,230.16995800000,45.42902496000,60.46463069000,10.45861018000
161,14,Kandiyohi,23686,23683,230.16995800000,45.42902496000,60.46463069000,10.45861018000
162,14,Kandiyohi,20226,20223,230.16995800000,45.42902496000,60.46463069000,10.45861018000
163,14,Kandiyohi,32106,20198,230.16995800000,45.42902496000,60.46463069000,10.45861018000
165,14,Kandiyohi,15404,82,230.16995800000,45.42902496000,60.46463069000,10.45861018000
166,14,Kandiyohi,15866,2383,230.16995800000,45.42902496000,60.46463069000,10.45861018000
178,14,Kandiyohi,26981,1305,230.16995800000,45.42902496000,60.46463069000,10.45861018000
208,14,Kandiyohi,32023,383,230.16995800000,45.42902496000,60.46463069000,10.45861018000
209,14,Kandiyohi,26679,19223,230.16995800000,45.42902496000,60.46463069000,10.45861018000
210,14,Kandiyohi,24106,320,230.16995800000,45.42902496000,60.46463069000,10.45861018000
211,14,Kandiyohi,37899,4664,230.16995800000,45.42902496000,60.46463069000,10.45861018000
226,14,Kandiyohi,30433,29629,230.16995800000,45.42902496000,60.46463069000,10.45861018000
227,14,Kandiyohi,15065,15062,230.16995800000,45.42902496000,60.46463069000,10.45861018000
228,14,Kandiyohi,34612,27936,230.16995800000,45.42902496000,60.46463069000,10.45861018000
40,15,Lac qui Parle,15743,60,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
51,15,Lac qui Parle,26605,4955,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
55,15,Lac qui Parle,14911,3936,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
56,15,Lac qui Parle,31420,1774,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
57,15,Lac qui Parle,11014,451,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
58,15,Lac qui Parle,21022,19299,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
59,15,Lac qui Parle,13343,13354,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
60,15,Lac qui Parle,9253,7950,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
61,15,Lac qui Parle,27449,14726,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
62,15,Lac qui Parle,31307,31331,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
65,15,Lac qui Parle,39166,14207,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
66,15,Lac qui Parle,23281,23296,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
68,15,Lac qui Parle,39847,10186,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
102,15,Lac qui Parle,13965,1829,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
103,15,Lac qui Parle,16276,7210,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
104,15,Lac qui Parle,11317,537,215.75047430000,31.10794552000,46.10084389000,-3.95004151800
