Subbasin,WLD_w,CC_w,NM_w,ASC_w,GW_w,Buffer_w
96,304.96253679983397,120.43946712809391,135.19667120843357,85.29757905919669,19.909997080876696,33.42059404159234
97,244.96823507701583,60.29167788918631,75.27820426504172,25.304454955270565,19.777080118262234,60.469195933634765
98,249.3057614,64.54149024,79.63110527,29.54370587,19.77,61.91
99,291.3248878451396,106.74301579081276,121.58130819793652,71.63643574916469,19.875744012674094,40.39109342082189
100,256.0405480970819,71.30546333923263,86.35485517709219,36.290241603438716,19.78694038452314,58.46263174954009
101,249.21725317876007,64.46035792211865,79.54110419024298,29.462753970950263,19.771088000227724,61.68859195365736
102,244.8136357867633,60.06566256698907,75.14232990906383,25.059818723496793,19.77,61.910000000000004
103,234.2927646578468,49.5829623494729,64.62930530442956,14.55824265760069,19.769999999999996,61.91
104,300.032731612213,115.50096918499924,130.27352395612013,80.3648674075712,19.901600559670726,35.12928610700654
105,303.8306460524647,119.30606186837855,134.0662553668453,84.16523611751974,19.908221630059813,33.781898282828614
106,285.02485589370644,100.47508963654997,115.28496740442611,65.35195058429824,19.878710255154555,39.787463076048155
107,290.2151024889373,105.67228628109598,120.46845159084292,70.54426584250254,19.88685515690181,38.12997557048172
108,246.87083402282298,62.242528965078215,77.16769713017845,27.219400327074986,19.863231445458897,42.93740084911461
109,224.07653383613334,39.4396237953364,54.413444222778026,4.386726601873422,19.79201069198097,57.430824181873064
110,242.22720202095252,57.62012715628938,72.54307489608124,22.537238962882007,19.81154915222605,53.45474752199873
111,304.9638922,120.4408255,135.198025,85.29893394,19.91,33.42
112,304.9638922,120.4408255,135.198025,85.29893394,19.91,33.42
113,221.3128883272289,36.66072155408317,51.65792696191602,1.6069098488928346,19.773330856111244,61.232170781361134
114,243.11726345785246,58.456204200351365,73.43816504782588,23.40285562048302,19.79551416193503,56.71786804622123
115,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
116,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
117,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
118,234.6982310158118,49.98695762959312,65.03446926332663,14.962965398536873,19.770000000000003,61.910000000000004
119,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
120,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
121,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
122,216.1326210296994,31.48870577810566,46.48270561254005,-3.5685956376069567,19.77,61.91
123,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
124,215.75047430000004,31.10794552,46.10084389,-3.950041518,19.77,61.91
125,215.75485385342859,31.11233192083026,46.10520602066125,-3.9456594774504836,19.77,61.91
126,249.3057614,64.54149024,79.63110527,29.54370587,19.77,61.91
127,249.3057614,64.54149024,79.63110527,29.54370587,19.77,61.91
128,225.75529568875487,41.076468284227715,56.09820362724282,6.036431232430224,19.770000000000003,61.910000000000004
129,232.5660690617647,47.91805874390055,62.86932502244255,12.860403261911284,19.770000000000003,61.91
130,244.1961012723852,59.4504705910767,74.52519241485683,24.443463969340957,19.77,61.91
131,245.3939317322865,60.75620765622614,75.65223883169266,25.691030733276936,19.77,61.91
132,245.3499519,60.7537017,75.58256866,25.66624544,19.77,61.91
133,249.3057614,64.54149024,79.63110527,29.54370587,19.77,61.91
134,251.12086564687024,66.4725037199336,81.39637136072494,31.417702223580854,19.769999999999996,61.90999999999999
135,239.9594359,55.29384572,70.2707165,20.31938607,19.77,61.91
