ID,Generation,Cost,Reach Outlet NO3 kg/yr,N_reduction_kg,Reach Outlet Sediment tons/yr,S_reduction_ton,N_reduction_pct,S_reduction_pct,# PND Lake small,# PND Marsh small,# PND Marsh med,# PND Marsh large,# RES Marsh 50 ha,# RES Marsh 250 ha,# RES Marsh 500 ha,# RAMO area m^2,# RAMO sediment reduced Mg/yr,SWAT (1st) Outlet Average Daily FlowOut m^3/sec,SWAT (1st) WYLD m^3,SWAT (1st) LeSueur NO3 kg/yr,SWAT (1st) Reach Outlet NO3 kg/yr,SWAT (1st) Reach Outlet P kg/yr,SWAT (1st) Reach Outlet Sediment tons/yr,SWAT (1st) Sediment Transport Subbasin tons/yr,Point Source Sediment tons/yr,Point Source Mineral P kg/yr,Adjusted Point Source Sediment tons/yr,Adjusted Point Source Mineral P kg/yr,SWAT (2nd) Outlet Average Daily FlowOut m^3/sec,SWAT (2nd) WYLD m^3,SWAT (2nd) LeSueur NO3 kg/yr,SWAT (2nd) Reach Outlet P kg/yr,SWAT (2nd) Sediment Transport Subbasin tons/yr,SWAT (2nd) NO3 YIELD (SQ) kg/ha,SWAT (2nd) NO3 YIELD (LAT) kg/ha,SWAT (2nd) NO3 YIELD (TILE) kg/ha,SWAT (1st) HRU Sediment Transport HRU 1300 t/ha,SWAT (1st) HRU NO3 Leached HRU 1300 kg/ha,SWAT (2nd) HRU Sediment Transport HRU 1300 t/ha,SWAT (2nd) HRU NO3 Leached HRU 1300 kg/ha,Dominates,Superiors,RawFitness,Score
20024330,16,22297053.75,6777613.262,21105899.08,22669.2575,583225.6384,75.7,96.3,0,2,0,0,78,10,0,357578,795.1643,224.203571,163720831.4,2447884.791,6776681.683,1108351.514,22669.2558,1234790.062,1023660.702,451434.368,1015340.3,447765.0809,224.203571,163720831.4,2447855.429,1080773.694,1234790.062,0.1349,0.6351,10.5909,1674.956134,1251.941739,1674.956134,1251.941739,2,0,0,999999.5625
20020043,11,22518932.52,7625310.707,20258201.63,21104.7414,584790.1545,72.7,96.5,2,4,0,0,65,11,1,3744061,8325.8579,224.481013,163292499.2,3322797.969,7623965.805,1152915.817,21056.8695,1359332.749,1023660.702,451434.368,1036878.204,457263.2963,224.48441,163297110.2,3322766.35,1133832.339,1359308.763,0.1376,0.6297,10.5936,1925.72236,1254.073012,1925.689368,1254.190796,2,0,0,999999.5625
20017694,0,22521997.93,5753407.523,22130104.82,105689.2912,500205.6047,79.4,82.6,0,4,1,0,145,1,1,0,0,225.324116,163762997.4,1341938.392,5751080.201,1144751.66,105689.2912,1398087.986,1023660.702,451434.368,934840.4823,412264.6598,225.324116,163762997.4,1341944.267,1084247.538,1398087.986,0.136,0.6356,10.5993,1978.309508,1255.090305,1978.309508,1255.090305,0,0,0,999999.5625
20015933,14,22598596.36,5751609.048,22131903.29,105559.6218,500335.2741,79.4,82.6,1,3,0,0,145,1,1,1083100,2408.5443,225.071493,163470886.2,1343153.48,5749218.406,1125160.313,105559.6218,1347168.357,1023660.702,451434.368,930772.9031,410470.8571,225.071493,163470886.2,1343157.537,1063027.622,1347168.357,0.1356,0.6318,10.5993,1876.577432,1254.625345,1876.577432,1254.625345,0,0,0,999999.5625
20022570,0,22776347.41,6354711.898,21528800.44,25064.5769,580830.319,77.2,95.9,1,5,0,0,63,12,3,3744061,8325.8579,223.699708,163464201.9,1707077.172,6353234.729,1124462.986,25064.5769,1331162.502,1023660.702,451434.368,957854.4866,422413.836,223.699708,163464201.9,1707075.793,1075408.09,1331162.502,0.1357,0.6325,10.5994,1835.953814,1253.734742,1835.953814,1253.734742,2,0,0,999999.5625
20023141,24,22795939.13,6760532.46,21122979.88,22635.2436,583259.6523,75.8,96.3,1,3,0,0,78,10,0,4530616,10074.9601,224.110663,163681226.4,2449035.342,6759511.931,1146494.995,22635.2424,1366412.248,1023660.702,451434.368,1003290.976,442451.3284,224.110663,163681226.4,2449005.744,1114223.268,1366412.248,0.137,0.6347,10.585,1960.008672,1253.187328,1960.008672,1253.187328,2,0,0,999999.5625
20019882,4,22867198.73,5698395.164,22185117.18,97918.1642,507976.7317,79.6,83.8,1,3,1,0,144,1,2,3103998,6902.5175,225.209091,163660775.6,1341821.533,5695609.579,1116626.236,97918.1642,1316806.511,1023660.702,451434.368,924465.9704,407689.5,225.209091,163660775.6,1341828.025,1051864.439,1316806.511,0.1353,0.6341,10.604,1794.125012,1255.38645,1794.125012,1255.38645,0,0,0,999999.5625
20021452,12,22877996.17,6699133.786,21184378.55,21208.766,584686.1299,76,96.5,1,4,2,1,70,12,1,3103998,6902.5175,225.026167,163673193.5,3240753.427,6698166.484,1124455.805,21205.6168,1314450.301,1023660.702,451434.368,1022930.293,451112.267,225.026167,163673193.5,3240726.126,1100584.515,1314450.301,0.1354,0.6326,10.6011,1800.292365,1254.860704,1800.292365,1254.860704,3,0,0,999999.5625
20023911,27,22985267.08,5919293.377,21964218.96,21594.6821,584300.2138,78.8,96.4,1,2,1,1,81,11,1,3744061,8325.8579,224.13494,163494675.9,2183106.378,5917885.71,1115460.488,21580.8319,1311090.683,1023660.702,451434.368,979913.4905,432141.857,224.13494,163494675.9,2183095.85,1074343.036,1311090.683,0.1347,0.635,10.6029,1791.479275,1253.763175,1791.479275,1253.763175,5,0,0,999999.5625
20025317,28,23075513.92,8184023.153,19699489.19,96900.823,508994.0729,70.6,84,0,3,0,1,78,2,3,0,0,224.801896,163603360.2,2181348.398,8183032.844,1129950.336,96900.823,1241813.088,1023660.702,451434.368,1000989.477,441436.367,224.801896,163603360.2,2181341.58,1096403.713,1241813.088,0.137,0.6349,10.5953,1727.00657,1254.824656,1727.00657,1254.824656,0,35,121,999878.5625
20023012,19,23189145.98,7575496.145,20308016.2,21102.1479,584792.748,72.8,96.5,1,4,2,0,65,12,1,3744061,8325.8579,224.527645,163567599.2,3268376.977,7574600.768,1150088.888,21065.2357,1360413.769,1023660.702,451434.368,1044421.916,460590.0731,224.527645,163567599.2,3268348.285,1134007.729,1360413.769,0.138,0.6324,10.5993,1941.405029,1253.529695,1941.405029,1253.529695,1,0,0,999999.5625
20024606,27,23200857.68,6694013.726,21189498.61,21210.8897,584684.0062,76,96.5,1,4,2,1,70,12,1,0,0,225.031341,163675654.8,3240824.911,6693203.221,1125976.092,21207.0764,1313031.076,1023660.702,451434.368,1032815.165,455471.4956,225.031341,163675654.8,3240797.86,1106151.982,1313031.076,0.1353,0.6327,10.6018,1791.032494,1255.029593,1791.032494,1255.029593,2,0,0,999999.5625
20022480,26,23207983.83,5764942.463,22118569.88,32740.7044,573154.1915,79.3,94.6,1,0,0,0,72,13,2,0,0,225.107812,163788713.7,1839274.061,5763310.017,1168724.652,32619.935,1449072.377,1023660.702,451434.368,986419.0239,435010.7969,225.107812,163788713.7,1839274.693,1130416.194,1449072.377,0.1391,0.635,10.5945,2135.428756,1254.006398,2135.428756,1254.006398,3,0,0,999999.5625
20025321,28,23367123.82,7073294.502,20810217.84,97000.4105,508894.4854,74.6,84,2,4,2,1,95,1,3,0,0,223.01089,163041886.1,1752440.929,7070839.324,1102384.999,97000.4105,1233026.28,1023660.702,451434.368,952025.287,419843.1591,223.01089,163041886.1,1752481.299,1049054.815,1233026.28,0.1348,0.6342,10.5936,1695.878701,1253.915365,1695.878701,1253.915365,0,23,76,999923.5625
20016402,4,23437679.1,5698333.732,22185178.61,97916.6302,507978.2657,79.6,83.8,1,3,1,0,144,1,2,3687174,8199.3554,225.206582,163659562.8,1341623.476,5695526.607,1117039.414,97916.6302,1318654.529,1023660.702,451434.368,923261.7773,407158.4511,225.206582,163659562.8,1341628.717,1051876.235,1318654.529,0.1354,0.6341,10.6039,1798.118677,1255.001644,1798.118677,1255.001644,0,0,0,999999.5625
20020196,18,23444291.28,5693249.282,22190263.06,105619.4571,500275.4388,79.6,82.6,1,3,1,1,143,2,2,0,0,225.207551,163651877.6,1341338.013,5690848.822,1127081.471,105619.4571,1348171.557,1023660.702,451434.368,933727.8897,411774.0063,225.207551,163651877.6,1341340.798,1066113.226,1348171.557,0.1356,0.6333,10.6007,1874.189272,1254.28595,1874.189272,1254.28595,0,0,0,999999.5625
20025067,18,23457151.19,5594226.546,22289285.79,105569.2531,500325.6428,79.9,82.6,2,3,0,0,144,2,2,0,0,225.084806,163411916.5,1343838.618,5591718.868,1147097.663,105569.2531,1411437.652,1023660.702,451434.368,931422.2156,410757.2039,225.084806,163411916.5,1343846.345,1085020.527,1411437.652,0.1371,0.6309,10.6013,2023.480797,1254.564663,2023.480797,1254.564663,0,0,0,999999.5625
20024588,27,23531602.5,6590407.08,21293105.26,21351.9903,584542.9056,76.4,96.5,0,0,1,0,68,14,2,3103998,6902.5175,225.447831,163845736.7,3241728.949,6589548.343,1125892.803,21348.4716,1316804.2,1023660.702,451434.368,1025554.216,452269.4173,225.447831,163845736.7,3241701.042,1103073.341,1316804.2,0.1359,0.6365,10.6009,1804.639347,1254.617818,1804.639347,1254.617818,1,0,0,999999.5625
20023136,24,23632164.66,5824353.923,22059158.42,28796.2794,577098.6165,79.1,95.2,3,2,1,0,86,10,2,3329596,7404.1911,223.341231,163311931.2,2176129.5,5822964.427,1119513.154,28784.9936,1357772.648,1023660.702,451434.368,979782.5463,432084.1105,223.341231,163311931.2,2176119.978,1078251.702,1357772.648,0.1357,0.631,10.6001,1906.891564,1253.616229,1906.891564,1253.616229,2,0,0,999999.5625
20020728,11,23683685.01,7040447.789,20843064.55,20889.63,585005.2659,74.8,96.6,4,1,0,1,64,14,2,3469290,7714.8358,224.933809,163463603.5,3176364.414,7039223.762,1132981.135,20873.2859,1333615.853,1023660.702,451434.368,1024990.967,452021.0246,224.933809,163463603.5,3176344.266,1108881.065,1333615.853,0.1358,0.6319,10.5989,1882.170531,1254.935025,1882.170531,1254.935025,1,0,0,999999.5625
20015428,22,23712687.58,5682538.543,22200973.8,21647.8887,584247.0072,79.6,96.4,1,0,1,0,83,12,1,3103998,6902.5175,224.635489,163836264.8,2184200.017,5681173.995,1088101.566,21656.1981,1220536.446,1023660.702,451434.368,983756.1996,433836.4918,224.635489,163836264.8,2184192.566,1048358.048,1220536.446,0.1359,0.6364,10.5954,1661.289906,1254.174285,1661.289906,1254.174285,4,0,0,999999.5625
20024106,6,23723394.2,6679309.585,21204202.76,21314.7161,584580.1798,76,96.5,0,2,1,1,66,13,1,3744061,8325.8579,225.35196,163797583.1,3240216.21,6678356.126,1140249.917,21297.5259,1351712.715,1023660.702,451434.368,1024275.873,451705.6683,225.35196,163797583.1,3240189.281,1116959.308,1351712.715,0.1369,0.6359,10.5924,1908.578511,1254.63228,1908.578511,1254.63228,1,0,0,999999.5625
20022423,23,23731781.23,6595120.06,21288392.28,21250.6382,584644.2577,76.3,96.5,2,1,0,0,71,12,1,4827161,10734.4022,224.999226,163733489.4,3185814.721,6594235.983,1132043.302,21232.4464,1351266.888,1023660.702,451434.368,1022793.643,451052.0047,224.999226,163733489.4,3185793.339,1108217.71,1351266.888,0.1373,0.6351,10.5927,1912.924699,1254.099118,1912.924699,1254.099118,1,0,0,999999.5625
20024678,1,23763268.9,6696198.005,21187314.34,21127.0614,584767.8345,76,96.5,1,5,2,1,70,12,1,3103998,6902.5175,224.788327,163492524.5,3240577.528,6695220.505,1103678.207,21123.9681,1229421.289,1023660.702,451434.368,1022919.97,451107.7149,224.788327,163492524.5,3240550.3,1079806.095,1229421.289,0.1361,0.6321,10.5971,1688.07669,1254.41622,1688.07669,1254.41622,1,0,0,999999.5625
20010061,1,23852664.99,5682573.365,22200938.98,21391.9055,584502.9904,79.6,96.5,2,3,1,1,83,11,1,3103998,6902.5175,223.894761,163379404.6,2176699.506,5681160.732,1081335.037,21399.8922,1218081.607,1023660.702,451434.368,980368.231,432342.3977,223.894761,163379404.6,2176693.032,1040203.681,1218081.607,0.135,0.6307,10.5962,1656.06864,1254.456428,1656.06864,1254.456428,5,0,0,999999.5625
20025310,28,23925478.04,6235598.188,21647914.15,39528.5192,566366.3767,77.6,93.5,1,2,1,1,96,6,1,0,0,224.446468,163623602.8,1784558.809,6233634.306,1165139.26,39528.5192,1447304.88,1023660.702,451434.368,968112.0491,426937.4212,224.446468,163623602.8,1784559.337,1118721.224,1447304.88,0.1384,0.633,10.5798,2134.362272,1254.848395,2134.362272,1254.848395,0,6,24,999975.5625
20017228,10,24103802.64,5682544.881,22200967.46,21391.5672,584503.3287,79.6,96.5,2,3,1,1,83,11,1,3103998,6902.5175,223.893335,163378775.4,2176697.687,5681132.159,1081010.369,21399.5525,1216132.868,1023660.702,451434.368,980367.9536,432342.2754,223.893335,163378775.4,2176691.224,1039879.046,1216132.868,0.1349,0.6306,10.5958,1650.765976,1254.212845,1650.765976,1254.212845,4,0,0,999999.5625
20025134,20,24138405.34,7472723.542,20410788.8,19751.4314,586143.4645,73.2,96.7,1,2,1,0,54,14,3,3103998,6902.5175,226.061692,163714443.2,3323827.448,7472044.1,1123633.857,19751.4314,1230992.268,1023660.702,451434.368,1047687.766,462030.3133,226.061692,163714443.2,3323795.404,1108186.668,1230992.268,0.1368,0.6354,10.6,1690.31714,1253.689554,1690.31714,1253.689554,1,0,0,999999.5625
20023708,19,24148948.07,5662329.212,22221183.13,21463.862,584431.0339,79.7,96.5,1,6,2,0,81,11,1,3469290,7714.8358,224.113458,163416423.3,2183833.199,5660916.333,1115536.266,21472.366,1338270.407,1023660.702,451434.368,980878.5098,432567.4305,224.113458,163416423.3,2183825.955,1074713.565,1338270.407,0.1368,0.634,10.5996,1875.914622,1253.921967,1875.914622,1253.921967,3,0,0,999999.5625
20022119,11,24150489.44,5682528.594,22200983.75,21291.9379,584602.958,79.6,96.5,4,2,0,0,83,11,2,3103998,6902.5175,223.419999,163356341.2,2163948.231,5681211.898,1122784.999,21300.8344,1357528.327,1023660.702,451434.368,980304.5168,432314.2995,223.419999,163356341.2,2163942.45,1081617.729,1357528.327,0.1364,0.6309,10.5976,1896.713442,1253.129781,1896.713442,1253.129781,4,0,0,999999.5625
20018763,16,24298260.04,6690706.159,21192806.18,21215.0644,584679.8315,76,96.5,1,4,2,0,69,12,1,3103998,6902.5175,225.179986,163687728.3,3240678.676,6689772.024,1104812.632,21211.916,1229262.049,1023660.702,451434.368,1023392.013,451315.8861,225.179986,163687728.3,3240651.589,1081116.041,1229262.049,0.1363,0.632,10.5958,1708.839146,1253.473957,1708.839146,1253.473957,1,0,0,999999.5625
20020691,9,24299372.13,6526210.349,21357301.99,21256.2022,584638.6937,76.6,96.5,1,6,2,0,69,12,2,3103998,6902.5175,225.252144,163671634,3240678.676,6525195.749,1104112.668,21252.8396,1237859.121,1023660.702,451434.368,1022491.269,450918.6577,225.252144,163671634,3240651.589,1079899.125,1237859.121,0.1366,0.632,10.5982,1718.133373,1253.708723,1718.133373,1253.708723,1,0,0,999999.5625
