"FA1","FA2","id"
-17188.8011688182,2234.71360345406,6948681806
NA,NA,6948655563
-6107.21617291796,793.847468027949,6948647714
76175.5059532554,-9902.37567600634,6948511119
-250951.610145475,32623.2441817819,6948510157
NA,NA,6948509307
-131439.369818438,17087.0711765663,6948508205
NA,NA,6948507689
6527.82767238371,-847.841873647517,6948506700
116620.007620333,-15160.1277603337,6948504619
-4099.8055118658,533.422475230751,6948503888
NA,NA,6948502762
66938.8994312329,-8701.97538469888,6948501935
98301.3691478317,-12778.7952722221,6948500862
36544.2159624663,-4750.3216370931,6948500040
48921.2240350006,-6359.73923484902,6948499253
NA,NA,6948498376
-135073.272149339,17559.8566046973,6948497545
NA,NA,6948497011
65374.7067388421,-8498.82409670091,6948495759
341125.190042096,-44345.9694030734,6948494256
48639.0793984068,-6322.67461380594,6948493327
-37211.1664759885,4837.30199567141,6948492232
-70829.2355467685,9207.98102438672,6948461651
-532212.745564292,69187.1591087338,6948085949
-204178.998438919,26543.1926693994,6948084829
143291.660976152,-18628.113764791,6948083536
61234.2863582652,-7960.16032395533,6948082295
-147938.965538157,19231.4449321424,6948080508
-3894.89283866031,506.650575731042,6948077266
-72411.3450112788,9413.77362753459,6948076027
-121771.775580569,15829.6348698273,6948074916
134401.522369297,-17472.8221631272,6948071691
NA,NA,6948070295
8284.66392411423,-1076.57136613378,6948068890
-12205.9367944663,1586.68854531016,6948067454
-162076.082439035,21069.4637853504,6948065388
69555.1182524858,-9042.50267607192,6948063980
69067.7428667513,-8978.8353062663,6948061858
116395.68353931,-15131.5706633972,6948059293
194384.483265037,-25270.4468971658,6948057874
-96019.6905944724,12482.7479467152,6948056254
NA,NA,6948054705
156271.99372119,-20315.0714052417,6948052325
-77776.4649865405,10111.0135225004,6948020508
-2569.51492871878,333.9835808177,6948018409
86895.4269697553,-11295.8299786507,6948016142
-114320.98983919,14862.3162572551,6948013471
87986.9603441322,-11438.1685419013,6948011547
116106.413321198,-15093.757139842,6948008993
-46911.1786823647,6098.96290344516,6947769197
-192821.356595839,25065.9869202159,6947767101
-35862.0975431738,4662.24758769588,6947766117
-75888.9461733339,9865.4604360252,6947764954
117051.839031309,-15216.4776366316,6947763940
85865.1140873457,-11162.8347829089,6947763117
-147492.88216661,19174.2948241411,6947762340
-32189.1952732872,4184.83883632094,6947730214
52336.6018354477,-6803.58987652484,6947728905
-272.618036719803,35.3989004531953,6947727383
158864.007318805,-20651.6097872152,6947725489
20062.4156590756,-2607.95840818131,6947722323
-11557.9734884842,1502.36147033111,6947720880
NA,NA,6947718708
-219414.194062264,28524.0005996501,6947716268
257082.497206506,-33420.8209254895,6947714118
-151173.632464941,19652.2504558245,6947711441
-215265.521757474,27984.0545439866,6947708338
-116157.536204273,15100.6050547551,6947706873
-56141.4348120795,7298.60475421906,6947704679
76522.3435534827,-9947.85053107345,6947701473
16576.3925946467,-2155.2326711024,6947697525
-55948.0542086086,7273.60104564705,6947696123
157220.662056901,-20438.2934769114,6947392965
18882.3028484318,-2454.64470637281,6947391733
NA,NA,6947391108
183538.898190594,-23860.427677156,6947389851
NA,NA,6947387994
-83166.5873045604,10812.0198740867,6947387071
74712.6658710957,-9712.35384145821,6947385647
143690.144196457,-18679.9444216423,6947384017
-13372.8012484406,1738.90772312909,6947382976
160240.964793015,-20832.0285341759,6947381248
NA,NA,6947380629
NA,NA,6947379840
102462.167111432,-13319.2083259079,6947378928
-212508.143728293,27626.3287384139,6947364981
NA,NA,6947364123
-187992.587786771,24438.5173781649,6947363268
NA,NA,6947362650
125938.856567284,-16372.4129449441,6947361706
37820.7128251464,-4916.62293288663,6947359283
24845.533257219,-3230.21453895494,6947000153
