,id,mean_wld,mean_cc,mean_nm,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,countyresident,countyland,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean,concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,County,Region_y
23,6949493789,588.4624221,186.7306631,293.5370819,1.0,3.0,2.0,4.0,5.0,3.0,1.0,10.0,Douglas,Douglas,3.3,46153.0,14.79,459.0,119.0,129.0,3410.0,4.4,10017.0,11.03,16.0,220.0,748.0,417.0,764.0,442.0,0.4775127870000001,0.458586311,0.127918605,0.979054264,-0.602436471,-0.166512296,0.509010702,-0.281811527,0.181725298,-0.094477664,-0.148278747,1,Douglas,Westcentral
24,6949491780,588.4624221,186.7306631,293.5370819,1.0,3.0,2.0,2.0,2.0,,1.0,1.0,Watonwan,Watonwan,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187,-1.004758719,0.895045148,0.383944871,-0.965504843,-0.378525638,-0.283817257,0.155368074,-0.213867428,-0.149973788,1,Watonwan,Southcentral
25,6949489833,588.4624221,186.7306631,293.5370819,1.0,4.0,2.0,3.0,5.0,3.0,1.0,10.0,Waseca,Waseca,4.0,46304.0,14.84,468.0,224.0,216.0,6922.0,95.0,284.0,0.0,10.0,225.0,762.0,417.0,698.0,427.0,0.510246648,0.48386545,1.169271371,0.448882203,0.760795188,0.130219782,0.498324712,-0.0957553,0.245403174,0.094655193,-0.07867309900000001,1,Waseca,Southcentral
26,6949488002,588.4624221,186.7306631,293.5370819,1.0,3.0,2.0,6.0,5.0,3.0,1.0,1.0,Brown,Brown,3.8,43375.0,13.9,394.0,207.0,197.0,6875.0,229.6,2004.0,0.0,20.0,233.0,756.0,417.0,698.0,425.0,0.473061071,0.446461497,-1.08268594,0.522742575,0.375522967,-0.547832187,-0.064389339,-0.163274038,0.243080238,-0.007609493,-0.14563989800000002,1,Brown,Southcentral
27,6949485959,588.4624221,186.7306631,293.5370819,1.0,3.0,2.0,4.0,5.0,2.0,2.0,10.0,Blue Earth,Blue Earth,3.0,47201.0,15.13,478.0,215.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888,0.233984315,-0.188998812,-0.5465714420000001,0.031533928,-0.13317595,-0.275612475,0.239020957,-0.152392227,-0.0026586070000000003,1,Blue Earth,Southcentral
28,6949478309,588.4624221,186.7306631,293.5370819,1.0,4.0,1.0,,4.0,3.0,2.0,1.0,Lyon,Lyon,3.3,43036.0,13.79,385.0,202.0,183.0,6275.0,263.0,1492.0,51.44,19.0,212.0,757.0,417.0,698.0,425.0,0.513802024,0.493156702,0.8200250509999999,0.125149987,0.306487165,-0.160714839,-0.132111783,-0.136202732,-0.72566283,-0.228560498,-0.08246249900000001,0,Lyon,Southwest
29,6949476839,588.4624221,186.7306631,293.5370819,,,,,2.0,2.0,1.0,10.0,Blue Earth,Faribault,3.0,47201.0,15.13,478.0,209.0,232.0,7565.0,344.4,5253.0,0.0,42.0,237.0,746.0,417.0,874.0,474.0,0.597152583,0.573103888,0.260318043,-0.166116021,0.293726521,0.051959938,-0.238883666,-0.306591803,0.159553113,-0.040633298,-0.182272158,1,Blue Earth,Southcentral
30,6949474644,588.4624221,186.7306631,293.5370819,1.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,Sibley,Sibley,3.7,49421.0,15.84,546.0,237.0,226.0,6446.0,188.5,3302.0,0.0,32.0,219.0,762.0,417.0,711.0,431.0,0.45252079,0.418157076,0.7758083109999999,-0.337501235,0.288208684,0.216536501,-0.304587642,-0.27879749800000003,-0.6831563940000001,0.011421152,0.000910753,0,Sibley,Southcentral
31,6949471920,588.4624221,186.7306631,293.5370819,1.0,4.0,1.0,6.0,5.0,4.0,2.0,1.0,Sibley,Sibley,3.7,49421.0,15.84,546.0,237.0,226.0,6446.0,188.5,3302.0,0.0,32.0,219.0,762.0,417.0,711.0,431.0,0.45252079,0.418157076,0.329130947,-0.106567587,0.252066118,0.051918045,0.260179638,-0.131301277,0.201012165,0.137828228,-0.078439408,1,Sibley,Southcentral
32,6949467324,565.3593272,164.3311052,269.37357510000004,1.0,4.0,2.0,1.0,5.0,3.0,2.0,10.0,Faribault,Faribault,4.4,45400.0,14.55,445.0,209.0,219.0,6585.0,136.2,199.0,0.0,12.0,203.0,784.0,417.0,698.0,433.0,0.490212387,0.463059358,0.068819296,0.339553664,-0.494813576,-0.349301654,0.261508118,-0.309191777,-0.7260954490000001,-0.236088448,-0.08473193400000001,0,Faribault,Southcentral
