concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,id,income,areaf,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean
-0.26812105256610697,0.0973110308096794,-0.5383957771889321,0.0325072818077953,-0.125433582041045,-0.30818592995375,0.00316077544144512,-0.21599006535051604,-0.0683148397576104,1,6949519165,2.0,2.0,4.3,47666.0,15.28,503.0,66.0,63.0,1986.0,0.0,0.0,0.0,0.0,195.0,743.0,417.0,698.0,421.0,0.47458725399999996,0.463180178
0.241915846133594,-0.31943657706392997,0.31683600247207,-0.0211968097698595,-0.532098233764532,-0.30419413287945596,-0.686489593293495,-0.107763839855891,0.148196934171504,0,6949517026,,,4.8,50857.0,16.3,579.0,228.0,222.0,6745.0,95.5,5867.0,0.0,23.0,256.0,743.0,417.0,764.0,440.0,0.5040713029999999,0.456636592
0.7247207076116892,-0.6117474084394571,0.276275311294457,0.38754317974174296,-0.37075640552000894,-0.30403857977979903,-0.683777070708221,-0.009437273106737691,0.0285973315405222,0,6949515466,2.0,2.0,3.3,46153.0,14.79,459.0,119.0,129.0,3410.0,4.4,10017.0,11.03,16.0,220.0,748.0,417.0,764.0,442.0,0.47751278700000005,0.458586311
0.955606587254637,-0.668076709458692,-0.574953045596961,0.417829064136009,-0.168316313264828,-0.0574812014008081,0.034799925839088995,0.147424528483825,0.21860053704042104,2,6949513982,1.0,1.0,3.1,64137.0,20.56,860.0,97.0,131.0,18090.0,31.3,1071.0,0.0,22.0,707.0,784.0,486.0,1113.0,555.0,0.666003954,0.627656542
1.7894761467244598,-0.37086799380685703,-0.5651002387798011,0.217047327484865,-0.0193749715635983,0.208591321582195,0.249034492234531,0.253390776769495,0.11306240916165,2,6949512250,4.0,3.0,4.2,43738.0,14.02,404.0,150.0,174.0,5396.0,150.7,1837.0,0.0,19.0,196.0,765.0,417.0,698.0,428.0,0.5994114229999999,0.5770359970000001
-0.20356818504564003,0.228254554888609,1.10353138531151,-0.0371903827238969,0.18896866895907896,-0.304920581352486,0.19846815500985102,0.0328120099276152,-0.14677153375401902,1,6949510004,,3.0,3.9,44509.0,14.27,423.0,197.0,187.0,6552.0,254.2,54.0,0.0,19.0,199.0,764.0,417.0,698.0,427.0,0.476013148,0.45567552899999997
0.5032198605993939,0.229385673437763,0.30769147459285306,-0.000605317071034974,-0.190621256823174,-0.109840018280371,0.20593876201631603,0.0201830215478797,0.0473448575846134,1,6949508507,3.0,3.0,4.2,46600.0,14.94,476.0,110.0,106.0,2686.0,14.5,7871.0,0.0,10.0,210.0,752.0,417.0,698.0,424.0,0.46280460799999995,0.452347745
-0.14245597185592002,0.42958933326562604,0.28975113179654305,0.0270240436813698,0.0558529633053494,-0.250661122685309,0.171507283380997,-0.106958579920923,-0.0833891678130297,1,6949506509,6.0,3.0,4.3,47714.0,15.29,504.0,150.0,168.0,4911.0,114.6,6178.0,0.0,10.0,210.0,762.0,417.0,698.0,427.0,0.563708026,0.546157232
-0.32327688340510496,-0.0133426095697784,0.30523519499935603,-0.0883070492833914,-0.26335207077656003,-0.139532775740799,0.228099114258135,-0.0498859851559821,-0.0641420964665335,1,6949504595,5.0,2.0,4.4,45400.0,14.55,445.0,209.0,219.0,6585.0,136.2,199.0,0.0,12.0,203.0,784.0,417.0,698.0,433.0,0.490212387,0.463059358
0.7293605211958629,-0.0513004322721164,-0.475646049473629,0.18449136332584198,0.23485419866038001,-0.0980499181631899,0.18219517118869,0.33922299253111793,-0.0359013071081686,2,6949502871,6.0,3.0,2.8,41053.0,13.16,336.0,150.0,164.0,5718.0,21.5,1911.0,77.27,10.0,184.0,751.0,417.0,698.0,424.0,0.5561905970000001,0.538722106
