"FA1","FA2","id"
290638.640896113,-116499.646587345,6948492232
52121.9296822376,-20891.8680972349,6948461651
-61708.1061472849,24737.0199075523,6948085949
293714.776975301,-117735.097505278,6948084829
-73143.1724394965,29319.0911164129,6948083536
-8252.12477224952,3308.8087328618,6948082295
-168485.617055253,67537.3981270625,6948080508
-150465.208705168,60313.6094171404,6948077266
-28104.4221629851,11266.3814764355,6948076027
-24626.866622567,9874.37021372703,6948074916
438.48696124904,-177.241784647771,6948071691
NA,NA,6948070295
-85762.3034411102,34377.7130664139,6948068890
352.112039325045,-140.354974631453,6948067454
-37510.7969243252,15036.154307233,6948065388
28173.0184923788,-11293.8383479078,6948063980
43236.4281782435,-17331.8739364112,6948061858
29520.4230431606,-11831.0063981374,6948059293
-137087.061895029,54953.4764751292,6948057874
-90123.9002071021,36127.9530572008,6948056254
NA,NA,6948054705
46423.5400250519,-18608.6464632513,6948052325
97609.523406938,-39126.0404645359,6948020508
116794.706404901,-46814.0883675889,6948018409
171396.781487795,-68702.4729037652,6948016142
27911.1727415706,-11186.308601798,6948013471
156941.927008763,-62910.4493625235,6948011547
-11522.5590699838,4616.31520269421,6948008993
26366.0735202704,-10568.5637723496,6947769197
186610.384991107,-74801.6140690759,6947767101
7305.99163202646,-2927.99456775524,6947766117
108443.105506235,-43469.3976133338,6947764954
215422.387232052,-86352.2680805663,6947763940
-5017.7868826765,2013.79157144406,6947763117
48596.4905407438,-19479.0813918417,6947762340
-38757.608365973,15538.0481424149,6947730214
101360.987168005,-40629.0453692273,6947728905
-55333.6359697012,22182.2947013698,6947727383
-26242.0937579805,10519.8443262254,6947725489
-98971.758468996,39675.3119717858,6947722323
99802.7830053863,-40004.9529556175,6947720880
NA,NA,6947718708
-39144.9507804833,15693.6704855185,6947716268
2943.28466133161,-1182.02663005291,6947714118
69205.1269495675,-27738.2566658026,6947711441
-165651.277431143,66401.7427443043,6947708338
-314082.360524123,125898.538318227,6947706873
-85626.7333377793,34325.3923247763,6947704679
-12283.0313580608,4923.96752826232,6947701473
131841.678591042,-52848.839664577,6947697525
299223.10116938,-119942.254348774,6947696123
-24600.6894454678,9862.79616254931,6947392965
132335.630567934,-53044.419992621,6947391733
NA,NA,6947391108
-76503.7332598374,30667.7057097435,6947389851
17366.0552278002,-6959.49724696528,6947387994
-31055.9205817586,12449.6046066898,6947387071
-6334.99845287391,2539.36064029762,6947385647
-31893.5783301982,12784.6672158232,6947384017
-34234.318289862,13724.5492942614,6947382976
239874.597608682,-96152.2240387372,6947381248
NA,NA,6947380629
NA,NA,6947379840
-20891.0191131757,8375.39911002969,6947378928
101162.441029955,-40548.5622149036,6947364981
NA,NA,6947364123
231992.078895989,-92992.1036001286,6947363268
NA,NA,6947362650
127632.45418897,-51162.6327941984,6947361706
295391.21956952,-118406.9488855,6947359283
28429.7081518052,-11396.099122141,6947000153
57395.3685923666,-23007.1803449302,6946999089
NA,NA,6946997925
NA,NA,6946997286
NA,NA,6946996370
28051.9809675711,-11243.4258221736,6946995349
-58517.3477303647,23457.5323332866,6946993526
NA,NA,6946896808
111646.891985915,-44754.7680001998,6946894306
NA,NA,6946892816
27463.130537909,-11005.8552226161,6946891262
79038.2165997094,-31681.6857848343,6946889776
144955.891385401,-58105.5043782089,6946884857
148931.800571718,-59699.0237501284,6946883630
109242.493694913,-43789.2492819883,6946882172
181011.076857494,-72555.4372703747,6946879942
-30607.2957067178,12271.3221759311,6946742831
-8318.66880076162,3335.55294312733,6946742021
NA,NA,6946740972
-176818.249609732,70877.6736351205,6946739593
45404.7384450177,-18198.6200364974,6946738484
-17371.5595899866,6963.11338567654,6946737162
-885.80548801226,354.129672160863,6946736097
117042.72244592,-46916.3143315593,6946735108
NA,NA,6946734321
NA,NA,6946589637
-20456.6604496508,8201.54219090172,6946589608
-13385.4888610508,5364.91569936443,6946588901
-82721.7019083318,33161.515457407,6946588875
NA,NA,6946588448
-28450.4004678526,11405.5007426777,6946588193
-115737.573802665,46393.91770182,6946587636
-75969.2697442472,30452.3225725927,6946587356
35990.5246674851,-14426.5102436886,6946586671
-10817.9084508428,4337.01925114826,6946586125
-30858.6922541877,12371.6135576106,6946585546
-87247.6018073899,34974.6382247556,6946584969
-200038.116129013,80183.9025820126,6946584818
-104996.173282273,42090.0080260743,6946583955
23028.0987136011,-9228.32911161222,6946583813
9608.68416993491,-3851.31339337458,6946513673
108387.055376957,-43445.9624922478,6946511637
-147665.763300803,59193.2660335903,6946260193
-6245.04346810777,2503.67376087526,6946258184
