id,PROBY            
6949471920.0000000,.5677796             
6949471920.0000000,.4322204             
6949471920.0000000,.3571881             
6949471920.0000000,.6428119             
6949471920.0000000,.6375453             
6949471920.0000000,.3624547             
6949471920.0000000,.2552991             
6949471920.0000000,.7447009             
6949471920.0000000,.5184661             
6949471920.0000000,.4815339             
6949471920.0000000,.6983864             
6949471920.0000000,.3016136             
6949471920.0000000,.5191573             
6949471920.0000000,.4808427             
6949471920.0000000,.3448468             
6949471920.0000000,.6551532             
6949467324.0000000,.6475822             
6949467324.0000000,.3524178             
6949467324.0000000,.5450418             
6949467324.0000000,.4549582             
6949467324.0000000,.7389336             
6949467324.0000000,.2610664             
6949467324.0000000,.4860317             
6949467324.0000000,.5139683             
6949467324.0000000,.6060915             
6949467324.0000000,.3939085             
6949467324.0000000,.8268688             
6949467324.0000000,.1731312             
6949467324.0000000,.6769007             
6949467324.0000000,.3230993             
6949467324.0000000,.5043807             
6949467324.0000000,.4956193             
6949463084.0000000,.6994561             
6949463084.0000000,.3005439             
6949463084.0000000,.6612231             
6949463084.0000000,.3387769             
6949463084.0000000,.7474216             
6949463084.0000000,.2525784             
6949463084.0000000,.5061748             
6949463084.0000000,.4938252             
6949463084.0000000,.6616156             
6949463084.0000000,.3383844             
6949463084.0000000,.8358472             
6949463084.0000000,.1641528             
6949463084.0000000,.7685782             
6949463084.0000000,.2314218             
6949463084.0000000,.5165021             
6949463084.0000000,.4834979             
6949461204.0000000,.6347414             
6949461204.0000000,.3652586             
6949461204.0000000,.5110103             
6949461204.0000000,.4889897             
6949461204.0000000,.6813825             
6949461204.0000000,.3186175             
6949461204.0000000,.3442736             
6949461204.0000000,.6557264             
6949461204.0000000,.5908026             
6949461204.0000000,.4091974             
6949461204.0000000,.7557058             
6949461204.0000000,.2442942             
6949461204.0000000,.6528253             
6949461204.0000000,.3471747             
6949461204.0000000,.4092763             
6949461204.0000000,.5907237             
6949458706.0000000,.5862079             
6949458706.0000000,.4137921             
6949458706.0000000,.4013318             
6949458706.0000000,.5986682             
6949458706.0000000,.6663891             
6949458706.0000000,.3336109             
6949458706.0000000,.3143721             
6949458706.0000000,.6856279             
6949458706.0000000,.5374800             
6949458706.0000000,.4625200             
6949458706.0000000,.7379874             
6949458706.0000000,.2620126             
6949458706.0000000,.5580111             
6949458706.0000000,.4419889             
6949458706.0000000,.3879424             
6949458706.0000000,.6120576             
6949418183.0000000,.6576292             
6949418183.0000000,.3423708             
6949418183.0000000,.5673622             
6949418183.0000000,.4326378             
6949418183.0000000,.7339535             
6949418183.0000000,.2660465             
6949418183.0000000,.4737700             
6949418183.0000000,.5262300             
6949418183.0000000,.6155369             
6949418183.0000000,.3844631             
6949418183.0000000,.8214865             
6949418183.0000000,.1785135             
6949418183.0000000,.6969355             
6949418183.0000000,.3030645             
6949418183.0000000,.4945796             
6949418183.0000000,.5054204             
6949408889.0000000,.5747724             
6949408889.0000000,.4252276             
6949408889.0000000,.3745363             
6949408889.0000000,.6254637             
6949408889.0000000,.6191130             
6949408889.0000000,.3808870             
6949408889.0000000,.2248240             
6949408889.0000000,.7751760             
6949408889.0000000,.5271360             
6949408889.0000000,.4728640             
6949408889.0000000,.6760864             
6949408889.0000000,.3239136             
6949408889.0000000,.5345105             
6949408889.0000000,.4654895             
6949408889.0000000,.3219063             
6949408889.0000000,.6780937             
6949405911.0000000,.7037915             
6949405911.0000000,.2962085             
6949405911.0000000,.6668528             
6949405911.0000000,.3331472             
6949405911.0000000,.7171494             
6949405911.0000000,.2828506             
6949405911.0000000,.4294497             
6949405911.0000000,.5705503             
6949405911.0000000,.6658033             
6949405911.0000000,.3341967             
6949405911.0000000,.8009358             
6949405911.0000000,.1990642             
6949405911.0000000,.7716741             
6949405911.0000000,.2283259             
6949405911.0000000,.4669759             
6949405911.0000000,.5330241             
6949399112.0000000,.6216291             
6949399112.0000000,.3783709             
6949399112.0000000,.4810481             
6949399112.0000000,.5189519             
6949399112.0000000,.7011521             
6949399112.0000000,.2988479             
6949399112.0000000,.3922955             
6949399112.0000000,.6077045             
6949399112.0000000,.5743630             
6949399112.0000000,.4256370             
6949399112.0000000,.7822702             
6949399112.0000000,.2177298             
6949399112.0000000,.6271195             
6949399112.0000000,.3728805             
6949399112.0000000,.4406755             
6949399112.0000000,.5593245             
6949394536.0000000,.6762979             
6949394536.0000000,.3237021             
6949394536.0000000,.6070681             
6949394536.0000000,.3929319             
6949394536.0000000,.7500103             
6949394536.0000000,.2499897             
6949394536.0000000,.5148807             
6949394536.0000000,.4851193             
6949394536.0000000,.6342697             
6949394536.0000000,.3657303             
6949394536.0000000,.8392949             
6949394536.0000000,.1607051             
6949394536.0000000,.7287964             
6949394536.0000000,.2712036             
6949394536.0000000,.5218884             
6949394536.0000000,.4781116             
6949392066.0000000,0                    
6949392066.0000000,0                    
6949392066.0000000,0                    
6949392066.0000000,0                    
6949392066.0000000,0                    
6949392066.0000000,0                    
